dataset,method,mean,sd
Breast Cancer,Bootstrap,0.7138830887422436,0.0222435247945655
Breast Cancer,CVAE,0.7762390426474933,0.0336747479180751
Breast Cancer,Column-wise,0.9996695557963163,0.00029173218916105054
Breast Cancer,GMM,0.9912991234117995,0.0033425497140426
Breast Cancer,GMM-guided SMOTE,0.5703629469122427,0.027090406005621282
Breast Cancer,SMOTE,0.5506983157687383,0.028809072472838766
Diabetes,Bootstrap,0.7157440863715278,0.022990013433367346
Diabetes,CVAE,0.9785080295138888,0.005656378936295265
Diabetes,Column-wise,0.7710394965277777,0.019893019039153838
Diabetes,GMM,0.9726765950520833,0.00574848878390076
Diabetes,GMM-guided SMOTE,0.7213037109375,0.026861473740048724
Diabetes,SMOTE,0.7218193901909723,0.025327375930972885
HIV,Bootstrap,0.706805293005671,0.06121920838646481
HIV,CVAE,0.9986578449905482,0.003394975686316831
HIV,Column-wise,0.8717958412098298,0.05522095658765763
HIV,GMM,1.0,0.0
HIV,GMM-guided SMOTE,0.5650850661625708,0.04881658674001209
HIV,SMOTE,0.5934026465028356,0.050769175795477316
