dataset,method,feature_index,feature,kld
HIV,Bootstrap,0,spikeProduction_D1D2,0.8489899085681337
HIV,Bootstrap,1,spikeDecay_D1D2,1.2592737972543122
HIV,Bootstrap,2,spikeProduction_D3,0.674007200562691
HIV,Bootstrap,3,spikeDecay_D3,1.249745054587724
HIV,Bootstrap,4,RBDProduction_D1D2,0.7965075459265463
HIV,Bootstrap,5,RBDDecay_D1D2,0.4017703831857435
HIV,Bootstrap,6,RBDProduction_D3,0.5876033676880166
HIV,Bootstrap,7,RBDDecay_D3,1.912165070398591
HIV,Bootstrap,8,V1_blood_IgGspike,0.4419216238620064
HIV,Bootstrap,9,V4_blood_IgGspike,0.6367217592888802
HIV,Bootstrap,10,V4a_blood_IgGspike,0.6463208017997267
HIV,Bootstrap,11,V6_blood_IgGspike,0.4130911204808815
HIV,Bootstrap,12,V8_blood_IgGspike,0.9985086245960088
HIV,Bootstrap,13,V8a_blood_IgGspike,0.7094674534622591
HIV,Bootstrap,14,V8b_blood_IgGspike,0.9114171954120924
HIV,Bootstrap,15,V9_blood_IgGspike,0.5968119314524075
HIV,Bootstrap,16,V10_blood_IgGspike,1.1515996444146537
HIV,Bootstrap,17,V11_blood_IgGspike,1.1545669678993382
HIV,Bootstrap,18,V1_blood_IgGRBD,0.3857745205288371
HIV,Bootstrap,19,V4_blood_IgGRBD,0.1539548633341201
HIV,Bootstrap,20,V4a_blood_IgGRBD,0.889046968554028
HIV,Bootstrap,21,V6_blood_IgGRBD,0.6535258507195588
HIV,Bootstrap,22,V8_blood_IgGRBD,0.1602748212437783
HIV,Bootstrap,23,V8a_blood_IgGRBD,0.4468098296413961
HIV,Bootstrap,24,V8b_blood_IgGRBD,1.1220445979525475
HIV,Bootstrap,25,V9_blood_IgGRBD,0.6116604763994785
HIV,Bootstrap,26,V10_blood_IgGRBD,0.8885694068229828
HIV,Bootstrap,27,V11_blood_IgGRBD,0.2388477811373729
HIV,Bootstrap,28,V4_Saliva_IgGspike,0.2654685729407654
HIV,Bootstrap,29,V4_Saliva_IgGRBD,0.9205457042761044
HIV,Bootstrap,30,V5_Saliva_IgGspike,0.5799156145632159
HIV,Bootstrap,31,V5_Saliva_IgGRBD,0.6739589166453441
HIV,Bootstrap,32,V8_Saliva_IgGspike,0.3169514476423885
HIV,Bootstrap,33,V8_Saliva_IgGRBD,0.566624868691394
HIV,Bootstrap,34,V8b_Saliva_IgGspike,1.2044790721677705
HIV,Bootstrap,35,V8b_Saliva_IgGRBD,1.0584090561407895
HIV,Bootstrap,36,V9_Saliva_IgGspike,1.4335885560863062
HIV,Bootstrap,37,V9_Saliva_IgGRBD,0.9162514875515008
HIV,Bootstrap,38,V4_Saliva_IgAspike,0.5795079768736096
HIV,Bootstrap,39,V4_Saliva_IgARBD,0.6021320533156811
HIV,Bootstrap,40,V5_Saliva_IgAspike,0.1261081147687419
