dataset,method,run,separability_auc
HIV,Bootstrap,0,0.7032136105860114
HIV,Bootstrap,1,0.7325141776937618
HIV,Bootstrap,2,0.7996219281663516
HIV,Bootstrap,3,0.7476370510396975
HIV,Bootstrap,4,0.6398865784499055
HIV,Bootstrap,5,0.7410207939508506
HIV,Bootstrap,6,0.6880907372400756
HIV,Bootstrap,7,0.7977315689981097
HIV,Bootstrap,8,0.6408317580340265
HIV,Bootstrap,9,0.6474480151228733
HIV,Bootstrap,10,0.6758034026465028
HIV,Bootstrap,11,0.6427221172022685
HIV,Bootstrap,12,0.7022684310018903
HIV,Bootstrap,13,0.6937618147448015
HIV,Bootstrap,14,0.7448015122873346
HIV,Bootstrap,15,0.7400756143667298
HIV,Bootstrap,16,0.6909262759924386
HIV,Bootstrap,17,0.7032136105860114
HIV,Bootstrap,18,0.7381852551984878
HIV,Bootstrap,19,0.7466918714555766
HIV,Bootstrap,20,0.7750472589792061
HIV,Bootstrap,21,0.77882797731569
HIV,Bootstrap,22,0.7306238185255198
HIV,Bootstrap,23,0.8175803402646503
HIV,Bootstrap,24,0.777882797731569
HIV,Bootstrap,25,0.6937618147448016
HIV,Bootstrap,26,0.774102079395085
HIV,Bootstrap,27,0.7306238185255198
HIV,Bootstrap,28,0.7542533081285444
HIV,Bootstrap,29,0.7164461247637051
HIV,Bootstrap,30,0.6965973534971645
HIV,Bootstrap,31,0.7674858223062382
HIV,Bootstrap,32,0.6493383742911153
HIV,Bootstrap,33,0.7088846880907372
HIV,Bootstrap,34,0.5727788279773157
HIV,Bootstrap,35,0.6739130434782609
HIV,Bootstrap,36,0.5973534971644613
HIV,Bootstrap,37,0.666351606805293
HIV,Bootstrap,38,0.7485822306238186
HIV,Bootstrap,39,0.7249527410207939
HIV,Bootstrap,40,0.6559546313799622
HIV,Bootstrap,41,0.6153119092627599
HIV,Bootstrap,42,0.6398865784499055
HIV,Bootstrap,43,0.6795841209829868
HIV,Bootstrap,44,0.6455576559546314
HIV,Bootstrap,45,0.8241965973534972
HIV,Bootstrap,46,0.6332703213610585
HIV,Bootstrap,47,0.5689981096408318
HIV,Bootstrap,48,0.7665406427221172
HIV,Bootstrap,49,0.7391304347826086
HIV,Column-wise,0,0.940453686200378
HIV,Column-wise,1,0.9139886578449904
HIV,Column-wise,2,0.8553875236294897
HIV,Column-wise,3,0.9536862003780718
HIV,Column-wise,4,0.9792060491493384
HIV,Column-wise,5,0.936672967863894
HIV,Column-wise,6,0.8629489603024576
HIV,Column-wise,7,0.9007561436672968
HIV,Column-wise,8,0.8582230623818525
HIV,Column-wise,9,0.8516068052930057
HIV,Column-wise,10,0.8213610586011343
HIV,Column-wise,11,0.775992438563327
HIV,Column-wise,12,0.8043478260869564
HIV,Column-wise,13,0.9017013232514176
HIV,Column-wise,14,0.9158790170132324
HIV,Column-wise,15,0.9130434782608696
HIV,Column-wise,16,0.8260869565217391
HIV,Column-wise,17,0.9215500945179584
HIV,Column-wise,18,0.8809073724007561
HIV,Column-wise,19,0.8894139886578449
HIV,Column-wise,20,0.9584120982986768
HIV,Column-wise,21,0.7920604914933838
HIV,Column-wise,22,0.8260869565217391
HIV,Column-wise,23,0.9139886578449904
HIV,Column-wise,24,0.8534971644612476
HIV,Column-wise,25,0.8950850661625709
HIV,Column-wise,26,0.8827977315689981
HIV,Column-wise,27,0.8166351606805293
HIV,Column-wise,28,0.7410207939508506
HIV,Column-wise,29,0.8638941398865785
HIV,Column-wise,30,0.8412098298676749
HIV,Column-wise,31,0.7901701323251418
HIV,Column-wise,32,0.9224952741020792
HIV,Column-wise,33,0.8856332703213612
HIV,Column-wise,34,0.9073724007561436
HIV,Column-wise,35,0.8128544423440454
HIV,Column-wise,36,0.8279773156899811
HIV,Column-wise,37,0.8667296786389413
HIV,Column-wise,38,0.8960302457466919
HIV,Column-wise,39,0.8582230623818525
HIV,Column-wise,40,0.9319470699432892
HIV,Column-wise,41,0.7429111531190927
HIV,Column-wise,42,0.8298676748582231
HIV,Column-wise,43,0.9007561436672968
HIV,Column-wise,44,0.9168241965973536
HIV,Column-wise,45,0.948015122873346
HIV,Column-wise,46,0.8724007561436673
HIV,Column-wise,47,0.8922495274102079
HIV,Column-wise,48,0.8043478260869565
HIV,Column-wise,49,0.8950850661625709
HIV,SMOTE,0,0.5264650283553876
HIV,SMOTE,1,0.5727788279773157
HIV,SMOTE,2,0.5236294896030245
HIV,SMOTE,3,0.6266540642722117
HIV,SMOTE,4,0.6313799621928167
HIV,SMOTE,5,0.6408317580340265
HIV,SMOTE,6,0.5425330812854443
HIV,SMOTE,7,0.6531190926275992
HIV,SMOTE,8,0.6228733459357279
HIV,SMOTE,9,0.6266540642722117
HIV,SMOTE,10,0.6521739130434783
HIV,SMOTE,11,0.6200378071833649
HIV,SMOTE,12,0.6275992438563327
HIV,SMOTE,13,0.5189035916824196
HIV,SMOTE,14,0.6011342155009451
HIV,SMOTE,15,0.668241965973535
HIV,SMOTE,16,0.5822306238185255
HIV,SMOTE,17,0.5793950850661626
HIV,SMOTE,18,0.6370510396975426
HIV,SMOTE,19,0.5330812854442344
HIV,SMOTE,20,0.5784499054820416
HIV,SMOTE,21,0.501890359168242
HIV,SMOTE,22,0.5293005671077505
HIV,SMOTE,23,0.6342155009451795
HIV,SMOTE,24,0.5633270321361059
HIV,SMOTE,25,0.5935727788279774
HIV,SMOTE,26,0.6011342155009451
HIV,SMOTE,27,0.6521739130434783
HIV,SMOTE,28,0.7400756143667296
HIV,SMOTE,29,0.5652173913043479
