dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
HIV,Bootstrap,0,0.9784172661870504,0.9787994891443168,0.0003822229572664204
HIV,Bootstrap,1,0.9714285714285714,0.9574844006568146,0.013944170771756803
HIV,Bootstrap,2,0.9714285714285714,0.9714103265827404,1.824484583101693e-05
HIV,Bootstrap,3,0.9784172661870504,0.971851851851852,0.006565414335198416
HIV,Bootstrap,4,0.9714285714285714,0.9653333333333334,0.0060952380952380425
HIV,Bootstrap,5,0.9855072463768116,0.9719211822660098,0.013586064110801876
HIV,Bootstrap,6,0.9784172661870504,0.9603345280764636,0.018082738110586805
HIV,Bootstrap,7,0.9714285714285714,0.9496989600437876,0.021729611384783798
HIV,Bootstrap,8,0.9714285714285714,0.9719029374201787,0.0004743659916073284
HIV,Bootstrap,9,0.9714285714285714,0.97192118226601,0.0004926108374385674
HIV,Bootstrap,10,0.9714285714285714,0.9728735632183908,0.0014449917898193831
HIV,Bootstrap,11,0.9714285714285714,0.9594628952804704,0.011965676148101068
HIV,Bootstrap,12,0.9784172661870504,0.9723809523809523,0.006036313806098037
HIV,Bootstrap,13,0.9784172661870504,0.958128078817734,0.020289187369316397
HIV,Bootstrap,14,0.9714285714285714,0.9723627075351212,0.0009341361065497988
HIV,Bootstrap,15,0.9714285714285714,0.9713920817369092,3.648969166225591e-05
HIV,Bootstrap,16,0.9784172661870504,0.9713920817369092,0.00702518445014122
HIV,Bootstrap,17,0.9714285714285714,0.9645137748586023,0.006914796569969073
HIV,Bootstrap,18,0.9784172661870504,0.9713920817369092,0.00702518445014122
HIV,Bootstrap,19,0.9784172661870504,0.9782886334610472,0.0001286327260031639
HIV,Column-wise,0,0.9852941176470588,0.9787994891443168,0.0064946285027419615
HIV,Column-wise,1,0.9777777777777776,0.9574844006568146,0.02029337712096302
HIV,Column-wise,2,0.9927007299270072,0.9714103265827404,0.021290403344266795
HIV,Column-wise,3,0.9852941176470588,0.971851851851852,0.013442265795206798
HIV,Column-wise,4,0.9927007299270072,0.9653333333333334,0.02736739659367382
HIV,Column-wise,5,0.9927007299270072,0.9719211822660098,0.020779547660997433
HIV,Column-wise,6,0.9927007299270072,0.9603345280764636,0.03236620185054362
HIV,Column-wise,7,0.9927007299270072,0.9496989600437876,0.043001769883219576
HIV,Column-wise,8,0.9927007299270072,0.9719029374201787,0.02079779250682845
HIV,Column-wise,9,0.9852941176470588,0.97192118226601,0.013372935381048778
HIV,Column-wise,10,0.9852941176470588,0.9728735632183908,0.012420554428667963
HIV,Column-wise,11,0.9852941176470588,0.9594628952804704,0.025831222366588413
HIV,Column-wise,12,0.9927007299270072,0.9723809523809523,0.02031977754605485
HIV,Column-wise,13,0.9927007299270072,0.958128078817734,0.03457265110927321
HIV,Column-wise,14,0.9852941176470588,0.9723627075351212,0.012931410111937547
HIV,Column-wise,15,0.9927007299270072,0.9713920817369092,0.021308648190098034
HIV,Column-wise,16,0.9852941176470588,0.9713920817369092,0.013902035910149602
HIV,Column-wise,17,0.9927007299270072,0.9645137748586023,0.02818695506840485
HIV,Column-wise,18,0.9927007299270072,0.9713920817369092,0.021308648190098034
HIV,Column-wise,19,0.9852941176470588,0.9782886334610472,0.007005484186011546
HIV,SMOTE,0,0.9640287769784172,0.9787994891443168,0.014770712165899647
HIV,SMOTE,1,0.9710144927536232,0.9574844006568146,0.013530092096808555
HIV,SMOTE,2,0.9710144927536232,0.9714103265827404,0.0003958338291172314
HIV,SMOTE,3,0.9710144927536232,0.971851851851852,0.000837359098228796
HIV,SMOTE,4,0.9710144927536232,0.9653333333333334,0.005681159420289794
HIV,SMOTE,5,0.978102189781022,0.9719211822660098,0.006181007515012271
HIV,SMOTE,6,0.978102189781022,0.9603345280764636,0.017767661704558457
HIV,SMOTE,7,0.9710144927536232,0.9496989600437876,0.02131553270983555
HIV,SMOTE,8,0.9640287769784172,0.9719029374201787,0.00787416044176159
HIV,SMOTE,9,0.978102189781022,0.97192118226601,0.006181007515012049
HIV,SMOTE,10,0.978102189781022,0.9728735632183908,0.005228626562631233
HIV,SMOTE,11,0.9710144927536232,0.9594628952804704,0.01155159747315282
HIV,SMOTE,12,0.9710144927536232,0.9723809523809523,0.0013664596273291751
HIV,SMOTE,13,0.9710144927536232,0.958128078817734,0.012886413935889185
HIV,SMOTE,14,0.978102189781022,0.9723627075351212,0.005739482245900818
HIV,SMOTE,15,0.978102189781022,0.9713920817369092,0.006710108044112872
HIV,SMOTE,16,0.978102189781022,0.9713920817369092,0.006710108044112872
HIV,SMOTE,17,0.9710144927536232,0.9645137748586023,0.006500717895020824
HIV,SMOTE,18,0.978102189781022,0.9713920817369092,0.006710108044112872
