dataset,proportion_permuted,percent_permuted,repeat,discriminator_auc,edge_jaccard,n_real_edges,n_perturbed_edges,glasso_alpha,edge_recovery
HIV,0.0,0.0,0,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,1,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,2,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,3,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,4,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,5,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,6,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,7,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,8,0.5,1.0,186,186,0.504,1.0
HIV,0.0,0.0,9,0.5,1.0,186,186,0.504,1.0
HIV,0.1,10.0,0,0.5567107750472589,0.59,186,132,0.504,0.6344086021505376
HIV,0.1,10.0,1,0.6521739130434783,0.6984924623115578,186,152,0.504,0.7473118279569892
HIV,0.1,10.0,2,0.6077504725897921,0.6119402985074627,186,138,0.504,0.6612903225806451
HIV,0.1,10.0,3,0.5841209829867675,0.654639175257732,186,135,0.504,0.6827956989247311
HIV,0.1,10.0,4,0.5784499054820416,0.5612244897959183,186,120,0.504,0.5913978494623656
HIV,0.1,10.0,5,0.5727788279773156,0.6243654822335025,186,134,0.504,0.6612903225806451
HIV,0.1,10.0,6,0.5765595463137997,0.6532663316582915,186,143,0.504,0.6989247311827957
HIV,0.1,10.0,7,0.5954631379962193,0.6649746192893401,186,142,0.504,0.7043010752688172
HIV,0.1,10.0,8,0.5330812854442344,0.6414141414141414,186,139,0.504,0.6827956989247311
HIV,0.1,10.0,9,0.501890359168242,0.5714285714285714,186,122,0.504,0.6021505376344086
HIV,0.25,25.0,0,0.5387523629489603,0.20634920634920634,186,42,0.504,0.20967741935483872
HIV,0.25,25.0,1,0.503780718336484,0.3526315789473684,186,71,0.504,0.3602150537634409
HIV,0.25,25.0,2,0.5075614366729678,0.24210526315789474,186,50,0.504,0.24731182795698922
HIV,0.25,25.0,3,0.5122873345935728,0.3177083333333333,186,67,0.504,0.3279569892473118
HIV,0.25,25.0,4,0.551984877126654,0.2789473684210526,186,57,0.504,0.2849462365591398
HIV,0.25,25.0,5,0.5453686200378072,0.33507853403141363,186,69,0.504,0.3440860215053764
HIV,0.25,25.0,6,0.5217391304347827,0.21164021164021163,186,43,0.504,0.21505376344086022
HIV,0.25,25.0,7,0.5396975425330812,0.27979274611398963,186,61,0.504,0.29032258064516125
HIV,0.25,25.0,8,0.5236294896030246,0.19895287958115182,186,43,0.504,0.20430107526881722
HIV,0.25,25.0,9,0.5727788279773157,0.20526315789473684,186,43,0.504,0.20967741935483872
HIV,0.5,50.0,0,0.7637051039697542,0.03723404255319149,186,9,0.504,0.03763440860215054
HIV,0.5,50.0,1,0.6559546313799622,0.0427807486631016,186,9,0.504,0.043010752688172046
HIV,0.5,50.0,2,0.6795841209829867,0.026737967914438502,186,6,0.504,0.026881720430107527
HIV,0.5,50.0,3,0.8223062381852552,0.058823529411764705,186,12,0.504,0.05913978494623656
HIV,0.5,50.0,4,0.6465028355387523,0.0374331550802139,186,8,0.504,0.03763440860215054
HIV,0.5,50.0,5,0.7325141776937618,0.026737967914438502,186,6,0.504,0.026881720430107527
HIV,0.5,50.0,6,0.720226843100189,0.053475935828877004,186,11,0.504,0.053763440860215055
HIV,0.5,50.0,7,0.7485822306238186,0.0481283422459893,186,10,0.504,0.04838709677419355
HIV,0.5,50.0,8,0.6862003780718336,0.03208556149732621,186,7,0.504,0.03225806451612904
HIV,0.5,50.0,9,0.6947069943289226,0.0213903743315508,186,5,0.504,0.021505376344086016
HIV,0.75,75.0,0,0.8109640831758034,0.010752688172043012,186,2,0.504,0.010752688172043012
HIV,0.75,75.0,1,0.9177693761814745,0.0,186,1,0.504,0.0
HIV,0.75,75.0,2,0.724007561436673,0.0,186,1,0.504,0.0
HIV,0.75,75.0,3,0.8790170132325142,0.0,186,0,0.504,0.0
HIV,0.75,75.0,4,0.7287334593572778,0.010752688172043012,186,2,0.504,0.010752688172043012
HIV,0.75,75.0,5,0.7362948960302457,0.0053475935828877,186,2,0.504,0.005376344086021506
HIV,0.75,75.0,6,0.7306238185255198,0.0053475935828877,186,2,0.504,0.005376344086021506
HIV,0.75,75.0,7,0.8620037807183365,0.010752688172043012,186,2,0.504,0.010752688172043012
HIV,0.75,75.0,8,0.7542533081285444,0.010752688172043012,186,2,0.504,0.010752688172043012
HIV,0.75,75.0,9,0.8922495274102079,0.005376344086021506,186,1,0.504,0.005376344086021506
HIV,1.0,100.0,0,0.7901701323251418,0.005319148936170213,186,3,0.504,0.005376344086021506
HIV,1.0,100.0,1,0.7504725897920606,0.0,186,0,0.504,0.0
HIV,1.0,100.0,2,0.7136105860113421,0.005376344086021506,186,1,0.504,0.005376344086021506
HIV,1.0,100.0,3,0.7731568998109641,0.0,186,1,0.504,0.0
HIV,1.0,100.0,4,0.7098298676748582,0.0,186,1,0.504,0.0
HIV,1.0,100.0,5,0.7107750472589792,0.0,186,0,0.504,0.0
HIV,1.0,100.0,6,0.6644612476370511,0.0,186,0,0.504,0.0
HIV,1.0,100.0,7,0.7570888468809074,0.0,186,1,0.504,0.0
HIV,1.0,100.0,8,0.7684310018903591,0.0,186,1,0.504,0.0
HIV,1.0,100.0,9,0.7674858223062382,0.005376344086021506,186,1,0.504,0.005376344086021506
Breast Cancer,0.0,0.0,0,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,1,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,2,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,3,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,4,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,5,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,6,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,7,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,8,0.5000000000000001,1.0,97,97,0.502,1.0
Breast Cancer,0.0,0.0,9,0.5,1.0,97,97,0.502,1.0
Breast Cancer,0.1,10.0,0,0.6825272629468434,0.8095238095238095,97,93,0.502,0.8762886597938145
Breast Cancer,0.1,10.0,1,0.6691280747224803,0.8640776699029126,97,95,0.502,0.9175257731958761
Breast Cancer,0.1,10.0,2,0.6703017262457822,0.8712871287128713,97,92,0.502,0.9072164948453609
Breast Cancer,0.1,10.0,3,0.6587608195999805,0.8333333333333334,97,90,0.502,0.8762886597938144
Breast Cancer,0.1,10.0,4,0.706244804146902,0.8058252427184466,97,89,0.502,0.8556701030927834
Breast Cancer,0.1,10.0,5,0.6796175852119908,0.7766990291262136,97,86,0.502,0.8247422680412371
