dataset,class,n_samples,n_components,AIC,BIC,AIC_minimum,BIC_minimum
HIV,0,23,2,603.4629618250301,5325.9834058743645,True,True
HIV,0,23,3,4711.778804747352,11796.127217929316,False,False
HIV,0,23,4,7910.84837668412,17357.024758998716,False,False
HIV,0,23,5,12246.289667284831,24054.294018732056,False,False
HIV,1,68,2,-2797.1426772888262,6433.789868538603,False,True
HIV,1,68,3,-3649.277694234739,10198.230878358992,True,False
HIV,1,68,4,309.62194193798496,18773.706541298016,False,False
HIV,1,68,5,497.9969465894246,23578.65757271576,False,False
Breast Cancer,0,212,2,3278.899056796553,6605.276054996517,False,True
Breast Cancer,0,212,3,3091.8499568658717,8083.093747303154,False,False
Breast Cancer,0,212,4,2290.202337460213,8946.312920134813,False,False
Breast Cancer,0,212,5,1205.9847116091491,9526.962086521067,True,False
Breast Cancer,1,357,2,3460.486466556832,7303.322626300454,False,True
Breast Cancer,1,357,3,2546.7894055280317,8312.982513034354,False,False
Breast Cancer,1,357,4,1521.4084367162272,9210.95849198525,False,False
Breast Cancer,1,357,5,1418.2838354910477,11031.190838522773,True,False
Diabetes,0,500,2,8626.790921348049,9001.891042107623,False,False
Diabetes,0,500,3,7521.418922057851,8086.176407246425,False,False
Diabetes,0,500,4,6962.425323118994,7716.840172736566,False,True
Diabetes,0,500,5,6819.59892715012,7763.671141196692,True,False
Diabetes,1,268,2,4243.424083747785,4563.021925013251,False,True
Diabetes,1,268,3,4140.653400136844,4621.845655525299,False,False
Diabetes,1,268,4,3996.9146733646267,4639.70134287607,False,False
Diabetes,1,268,5,3954.001662610135,4758.382746244567,True,False
