dataset,method,features_tested,features_p_below_0_05,median_p_value,mean_ks_statistic,percent_p_below_0_05
Breast Cancer,Bootstrap,30,0,0.7917002495785036,0.032688927943760986,0.0
Breast Cancer,CVAE,30,0,0.4990859883781773,0.07398945518453427,0.0
Breast Cancer,Column-wise,30,0,0.6614914111663783,0.035266549502050375,0.0
Breast Cancer,GMM,30,0,0.7210126959830339,0.10755711775043937,0.0
Breast Cancer,GMM-guided SMOTE,30,0,0.701802527451507,0.04932630345635618,0.0
Breast Cancer,SMOTE,30,0,0.6128890426461449,0.049619214997070886,0.0
Diabetes,Bootstrap,8,0,0.593233217728842,0.030436197916666664,0.0
Diabetes,CVAE,8,0,0.355777139906292,0.17724609375,0.0
Diabetes,Column-wise,8,0,0.7603691909859043,0.026692708333333336,0.0
Diabetes,GMM,8,0,0.7226682869991451,0.14501953125,0.0
Diabetes,GMM-guided SMOTE,8,0,0.5521115987220196,0.07080078125,0.0
Diabetes,SMOTE,8,0,0.7315135486716287,0.07861328125,0.0
HIV,Bootstrap,63,0,0.7891527720370709,0.07238792953078667,0.0
HIV,CVAE,63,2,0.4272894907694732,0.28205128205128205,3.1746031746031744
HIV,Column-wise,63,0,0.5972791262231724,0.0807605093319379,0.0
HIV,GMM,63,0,0.6314948906435486,0.19204604918890633,0.0
HIV,GMM-guided SMOTE,63,0,0.5949138862291464,0.1332635618349904,0.0
HIV,SMOTE,63,0,0.7323616382573426,0.11145996860282574,0.0
