dataset,method,features_tested,features_p_below_0_05,median_p_value,mean_ks_statistic,percent_p_below_0_05
Breast Cancer,Bootstrap,30,0,0.7917002495785036,0.032688927943760986,0.0
Breast Cancer,CVAE,30,4,0.23770735934329798,0.1912712360867018,13.333333333333334
Breast Cancer,Column-wise,30,0,0.6614914111663783,0.035266549502050375,0.0
Breast Cancer,GMM,30,0,0.7210126959830339,0.10755711775043937,0.0
Breast Cancer,GMM-guided SMOTE,30,0,0.701802527451507,0.04932630345635618,0.0
Breast Cancer,SMOTE,30,0,0.6128890426461449,0.049619214997070886,0.0
Breast Cancer,WGAN-GP,30,16,0.04460251247173487,0.4740480374926772,53.333333333333336
Diabetes,Bootstrap,8,0,0.593233217728842,0.030436197916666664,0.0
Diabetes,CVAE,8,1,0.2977401894682607,0.19498697916666669,12.5
Diabetes,Column-wise,8,0,0.7603691909859043,0.026692708333333336,0.0
Diabetes,GMM,8,0,0.7226682869991451,0.14501953125,0.0
Diabetes,GMM-guided SMOTE,8,0,0.5521115987220196,0.07080078125,0.0
Diabetes,SMOTE,8,0,0.7315135486716287,0.07861328125,0.0
Diabetes,WGAN-GP,8,6,5.088785158623684e-11,0.4251302083333333,75.0
HIV,Bootstrap,63,0,0.7891527720370709,0.07238792953078667,0.0
HIV,CVAE,63,0,0.5098661524546466,0.43572300715157863,0.0
HIV,Column-wise,63,0,0.5972791262231724,0.0807605093319379,0.0
HIV,GMM,63,0,0.6314948906435486,0.19204604918890633,0.0
HIV,GMM-guided SMOTE,63,0,0.5949138862291464,0.1332635618349904,0.0
HIV,SMOTE,63,0,0.7323616382573426,0.11145996860282574,0.0
HIV,WGAN-GP,63,19,0.1454213492967738,0.5356706785278214,30.158730158730158
