dataset,method,origin_auc_mean,origin_auc_sd,tstr_f1_mean,tstr_f1_sd,utility_gap_abs_mean,mean_feature_kld,mean_feature_ks,nn_distance_mean
HIV,Bootstrap,0.7068052930056712,0.060603924344518285,0.9749279830793751,0.0041474467186459335,0.007158563727415529,0.6935245854135461,0.07238792953078664,3.9420131919196386e-08
HIV,Column-wise,0.8717958412098299,0.05466595801343696,0.9889919374075665,0.004395764470071447,0.020849685287338788,0.6958618389051385,0.08076050933193789,8.042497618724848
HIV,GMM,1.0,0.0,0.980544260243979,0.003249037089531833,0.012440230419477732,1.2696351110681416,0.1920460491889063,73.86704905359927
HIV,SMOTE,0.5934026465028356,0.05025891987232752,0.9731509999870622,0.004517691776951823,0.00826061445381045,1.0748292885758501,0.11145996860282573,2.0935791824445107
HIV,GMM-guided SMOTE,0.5650850661625708,0.048325955325541375,0.9812376186007719,0.004172071856858764,0.013171347674599172,1.138343187661692,0.1332635618349904,1.839366800396305
HIV,CVAE,0.9986578449905482,0.003360854461661321,0.9626044837612252,0.004764431628084764,0.00867184567048876,4.060506818980957,0.28205128205128194,3.809220555104655
Breast Cancer,Bootstrap,0.7138830887422436,0.022019966107619717,0.988303837338545,0.0011166698481923744,0.01922557745316767,0.11987490027326445,0.032688927943760986,1.5637759995850217e-08
Breast Cancer,Column-wise,0.9996695557963164,0.0002888001329446322,0.9526730377905931,0.0016548729484432046,0.0164052220947843,0.09655118053002966,0.03526654950205039,4.0380528425620135
Breast Cancer,GMM,0.9934063823500442,0.00272432706024331,0.9573156882667014,0.0011940129766168882,0.011762571618675782,0.3028565275886312,0.10755711775043936,5.611695543128394
Breast Cancer,SMOTE,0.5506983157687383,0.028519526707334587,0.9843192151481828,0.0014555845432847798,0.0152409552628055,0.22332899942721424,0.04961921499707088,1.110558181047231
Breast Cancer,GMM-guided SMOTE,0.5703629469122428,0.026818133708340196,0.9702452733515505,0.001714545836749861,0.0027602944365217597,0.1856018469343202,0.04932630345635618,1.0359878128398408
Breast Cancer,CVAE,0.7762390426474933,0.033336299650665854,0.9609708296932414,0.0017714207280870437,0.00810743019213601,0.3036772387383579,0.07398945518453429,1.9240326613762941
Diabetes,Bootstrap,0.7157438151041667,0.02275922082028604,0.8569246132900596,0.003559258682532632,0.2273092661873261,0.052019883309728995,0.030436197916666668,0.0
Diabetes,Column-wise,0.7710394965277777,0.019693084125202286,0.663631148189884,0.005046099720227321,0.034015801087150514,0.0338433880201468,0.026692708333333336,1.337458583192679
Diabetes,GMM,0.9795128038194446,0.0051211680197933915,0.6575540494683417,0.00594801526234295,0.02793870236560827,0.3585787408220891,0.14501953125,1.3338483879226468
Diabetes,SMOTE,0.7218193901909722,0.025072822978632652,0.7596115497878733,0.0036238493452185275,0.12999620268513995,0.19315073458129614,0.07861328125,0.461567325731373
Diabetes,GMM-guided SMOTE,0.7213037109375,0.026591502327953973,0.7660148261796702,0.006876536866330642,0.1363994790769367,0.18332824432693384,0.07080078125,0.4674172134592684
Diabetes,CVAE,0.9785080295138888,0.005599529463941167,0.6129224523474205,0.008452144787329544,0.020065983372304336,0.5116924036261693,0.17724609375,0.9429189421346912
