dataset,method,origin_auc_mean,origin_auc_sd,tstr_f1_mean,tstr_f1_sd,utility_gap_abs_mean,mean_feature_kld,mean_feature_ks,nn_distance_mean
HIV,Bootstrap,0.7451165721487083,0.04035472862971147,0.9749229188078109,0.003494347379239482,0.007163196864511612,0.6935245854135461,0.07238792953078664,3.9420131919196386e-08
HIV,Column-wise,0.9032766225582861,0.035544561502635005,0.9815359477124184,0.003758169934640565,0.013394002811852601,0.6958618389051385,0.08076050933193789,8.042497618724848
HIV,GMM,1.0,0.0,0.981962256281931,0.003544990094880629,0.014202534338631723,1.2696351110681416,0.1920460491889063,73.86704905359927
HIV,SMOTE,0.5409577819785759,0.02253063538598759,0.9675216348660203,0.0034928578876029515,0.014150402131354045,1.0748292885758501,0.11145996860282573,2.0935791824445107
HIV,GMM-guided SMOTE,0.5526149968494013,0.006237867004796271,0.9784172661870504,0.0,0.010657544243751094,1.138343187661692,0.1332635618349904,1.839366800396305
HIV,CVAE,1.0,0.0,0.9252128841169938,0.006293965198074736,0.042929060783572004,9.887028445069229,0.43572300715157863,3.9717813702012825
HIV,WGAN-GP,1.0,0.0,0.8553459119496856,0.0,0.11279603295088014,13.35192835896869,0.5356706785278214,4.4358808864312484
Breast Cancer,Bootstrap,0.7255162677697888,0.0083937124086089,0.988795518207283,0.0,0.018730116420581033,0.11987490027326445,0.032688927943760986,1.5637759995850217e-08
Breast Cancer,Column-wise,0.9995157424734891,0.000271476992162323,0.9538037218888282,0.0006122325271261109,0.016261679897873638,0.09655118053002966,0.03526654950205039,4.0380528425620135
Breast Cancer,GMM,0.9935322893069373,0.0014648025458464595,0.9571934538348803,0.0006717147044454919,0.012871947951821616,0.3028565275886312,0.10755711775043936,5.611695543128394
Breast Cancer,SMOTE,0.5409649036409601,0.024904938156985804,0.9868142240715057,0.0007031129603944919,0.016748822284803733,0.22332899942721424,0.04961921499707088,1.110558181047231
Breast Cancer,GMM-guided SMOTE,0.5857382054565153,0.013619848311938828,0.9694444444444444,0.002777777777777768,0.0020214455810167453,0.1856018469343202,0.04932630345635618,1.0359878128398408
Breast Cancer,CVAE,0.9628763255523819,0.010331532199823542,0.9370094877575378,0.0012296712437762647,0.033055914029164135,1.8546323891548644,0.19127123608670177,1.6774304507083522
Breast Cancer,WGAN-GP,1.0,0.0,0.778229600273707,0.004665136568398287,0.1918358015129949,12.73546441047731,0.47404803749267727,1.86824061957258
Diabetes,Bootstrap,0.726806640625,0.016360941673916975,0.8565997030961306,0.0021573590507619755,0.2237843460173629,0.052019883309728995,0.030436197916666668,0.0
Diabetes,Column-wise,0.7683286313657408,0.015337310157140833,0.6546199863841129,0.001868563234207754,0.021804629305345102,0.0338433880201468,0.026692708333333336,1.337458583192679
Diabetes,GMM,0.9789225260416666,0.0027424401273821535,0.6558454597237191,0.004114298827588736,0.023030102644951367,0.3585787408220891,0.14501953125,1.3338483879226468
Diabetes,SMOTE,0.709621853298611,0.02381996468504252,0.7633728996454447,0.005857869585324527,0.130557542566677,0.19315073458129614,0.07861328125,0.461567325731373
Diabetes,GMM-guided SMOTE,0.7338460286458334,0.014007280108845157,0.7670383984898912,0.0012542844369380912,0.13422304141112346,0.18332824432693384,0.07080078125,0.4674172134592684
Diabetes,CVAE,0.9789315682870371,0.0029411840379106545,0.5345956014285959,0.0022215007091713757,0.09821975565017188,0.8485267409149837,0.19498697916666669,0.9255917529275189
Diabetes,WGAN-GP,0.9998462818287037,5.574014397939785e-05,0.0778763501491116,0.0001378342480515271,0.5549390069296561,7.6531494592814155,0.42513020833333337,0.9537520688479525
