dataset,method,sigma,sep_mean,sep_sd
HIV,Bootstrap,0.0,0.7209829867674858,0.06629584201161746
HIV,Bootstrap,0.05,0.8368620037807183,0.04657194366952246
HIV,Bootstrap,0.1,0.9056710775047259,0.0376860061833712
HIV,Bootstrap,0.2,0.9795841209829866,0.018805036091411542
HIV,Bootstrap,0.3,0.9962192816635161,0.0043106821364806746
HIV,Bootstrap,0.5,0.9988657844990548,0.0015122873345935484
HIV,Bootstrap,0.75,0.9992438563327031,0.0015122873345935427
HIV,Bootstrap,1.0,1.0,0.0
HIV,Bootstrap,1.5,1.0,0.0
HIV,Bootstrap,2.0,1.0,0.0
HIV,Column-wise,0.0,0.9003780718336483,0.04369388465438653
HIV,Column-wise,0.05,0.9992438563327031,0.000926083078556976
HIV,Column-wise,0.1,1.0,0.0
HIV,Column-wise,0.2,1.0,0.0
HIV,Column-wise,0.3,1.0,0.0
HIV,Column-wise,0.5,1.0,0.0
HIV,Column-wise,0.75,1.0,0.0
HIV,Column-wise,1.0,1.0,0.0
HIV,Column-wise,1.5,1.0,0.0
HIV,Column-wise,2.0,1.0,0.0
HIV,GMM,0.0,1.0,0.0
HIV,GMM,0.05,1.0,0.0
HIV,GMM,0.1,1.0,0.0
HIV,GMM,0.2,1.0,0.0
HIV,GMM,0.3,1.0,0.0
HIV,GMM,0.5,1.0,0.0
HIV,GMM,0.75,1.0,0.0
HIV,GMM,1.0,1.0,0.0
HIV,GMM,1.5,1.0,0.0
HIV,GMM,2.0,1.0,0.0
HIV,SMOTE,0.0,0.5771266540642722,0.031770408967131666
HIV,SMOTE,0.05,0.8234404536862006,0.04608135798924037
HIV,SMOTE,0.1,0.8863894139886579,0.023362575672948627
HIV,SMOTE,0.2,0.9846880907372402,0.012714685611191118
HIV,SMOTE,0.3,0.9988657844990548,0.0015122873345935373
HIV,SMOTE,0.5,1.0,0.0
HIV,SMOTE,0.75,1.0,0.0
HIV,SMOTE,1.0,1.0,0.0
HIV,SMOTE,1.5,1.0,0.0
HIV,SMOTE,2.0,1.0,0.0
HIV,GMM-guided SMOTE,0.0,0.5697542533081286,0.04182096577398815
HIV,GMM-guided SMOTE,0.05,0.8120982986767485,0.06880855439260601
HIV,GMM-guided SMOTE,0.1,0.8765595463137996,0.05843809260038773
HIV,GMM-guided SMOTE,0.2,0.953875236294896,0.03412294659976207
HIV,GMM-guided SMOTE,0.3,0.9863894139886579,0.013388227757751057
HIV,GMM-guided SMOTE,0.5,0.9971644612476371,0.0035867043404556455
HIV,GMM-guided SMOTE,0.75,1.0,0.0
HIV,GMM-guided SMOTE,1.0,1.0,0.0
HIV,GMM-guided SMOTE,1.5,1.0,0.0
HIV,GMM-guided SMOTE,2.0,1.0,0.0
HIV,CVAE,0.0,1.0,0.0
HIV,CVAE,0.05,0.9996219281663515,0.0007561436672967937
HIV,CVAE,0.1,1.0,0.0
HIV,CVAE,0.2,0.9994328922495275,0.0007561436672967548
HIV,CVAE,0.3,0.9986767485822305,0.002204518674799757
HIV,CVAE,0.5,0.9988657844990548,0.0022684310018903364
HIV,CVAE,0.75,0.9988657844990548,0.0015122873345935373
HIV,CVAE,1.0,1.0,0.0
HIV,CVAE,1.5,1.0,0.0
HIV,CVAE,2.0,1.0,0.0
Breast Cancer,Bootstrap,0.0,0.7040431399586329,0.022639216563564542
Breast Cancer,Bootstrap,0.05,0.7534965034965035,0.02037628884595748
Breast Cancer,Bootstrap,0.1,0.6775583571358219,0.026842158857775123
Breast Cancer,Bootstrap,0.2,0.6832118585639713,0.02611434592094695
Breast Cancer,Bootstrap,0.3,0.8693440362454445,0.017525589123906875
Breast Cancer,Bootstrap,0.5,0.966113464000788,0.010486959995376046
Breast Cancer,Bootstrap,0.75,0.9914655766768444,0.003483529670664811
Breast Cancer,Bootstrap,1.0,0.9966167635181721,0.0015247825796041658
Breast Cancer,Bootstrap,1.5,0.999399192356939,0.00028443866991418167
Breast Cancer,Bootstrap,2.0,0.999822712498769,8.586425575770678e-05
Breast Cancer,Column-wise,0.0,0.9994878361075544,0.0003683297931904804
Breast Cancer,Column-wise,0.05,0.9994336649266227,0.0003571646678709332
Breast Cancer,Column-wise,0.1,0.9994681374963065,0.0003739494830408347
Breast Cancer,Column-wise,0.2,0.9984930562395352,0.0008420148278274516
Breast Cancer,Column-wise,0.3,0.995991332611051,0.0009292338339515376
Breast Cancer,Column-wise,0.5,0.9959864079582388,0.0028638877974995988
Breast Cancer,Column-wise,0.75,0.9982615975573722,0.0012748669701679893
Breast Cancer,Column-wise,1.0,0.9990150694376047,0.0007853238702915398
Breast Cancer,Column-wise,1.5,0.9994041170097507,0.000554193042317987
Breast Cancer,Column-wise,2.0,0.9998818083325125,0.00012689942604871988
Breast Cancer,GMM,0.0,0.9937062937062937,0.002234056142026915
Breast Cancer,GMM,0.05,0.9941101152368759,0.0019336647855241456
Breast Cancer,GMM,0.1,0.9944203683640304,0.0018056493220443615
Breast Cancer,GMM,0.2,0.9949522308677239,0.002004460739230838
Breast Cancer,GMM,0.3,0.9953412784398701,0.0019862535709177062
Breast Cancer,GMM,0.5,0.9967300305328474,0.0015829062954820074
Breast Cancer,GMM,0.75,0.9975869201221315,0.0007259479468744537
Breast Cancer,GMM,1.0,0.9987540628385698,0.0005238682614782401
Breast Cancer,GMM,1.5,0.9994779868019303,0.0002459369839295681
Breast Cancer,GMM,2.0,0.9998916576381365,7.879444499160893e-05
Breast Cancer,SMOTE,0.0,0.5452378607308184,0.015404353355250418
