dataset,method,sigma,sep_mean,sep_sd
HIV,Bootstrap,0.0,0.7060491493383743,0.0028355387523629205
HIV,Bootstrap,0.05,0.8322306238185255,0.05340264650283555
HIV,Bootstrap,0.1,0.8809073724007561,0.034026465028355324
HIV,Bootstrap,0.2,0.9631379962192816,0.017958412098298626
HIV,Bootstrap,0.3,0.9933837429111532,0.0047258979206049045
HIV,Bootstrap,0.5,0.999054820415879,0.000945179584120992
HIV,Bootstrap,0.75,1.0,0.0
HIV,Bootstrap,1.0,1.0,0.0
HIV,Bootstrap,1.5,1.0,0.0
HIV,Bootstrap,2.0,1.0,0.0
HIV,Column-wise,0.0,0.9210775047258979,0.01937618147448017
HIV,Column-wise,0.05,0.999054820415879,0.000945179584120992
HIV,Column-wise,0.1,1.0,0.0
HIV,Column-wise,0.2,1.0,0.0
HIV,Column-wise,0.3,1.0,0.0
HIV,Column-wise,0.5,1.0,0.0
HIV,Column-wise,0.75,1.0,0.0
HIV,Column-wise,1.0,1.0,0.0
HIV,Column-wise,1.5,1.0,0.0
HIV,Column-wise,2.0,1.0,0.0
HIV,GMM,0.0,1.0,0.0
HIV,GMM,0.05,1.0,0.0
HIV,GMM,0.1,1.0,0.0
HIV,GMM,0.2,1.0,0.0
HIV,GMM,0.3,1.0,0.0
HIV,GMM,0.5,1.0,0.0
HIV,GMM,0.75,1.0,0.0
HIV,GMM,1.0,1.0,0.0
HIV,GMM,1.5,1.0,0.0
HIV,GMM,2.0,1.0,0.0
HIV,SMOTE,0.0,0.5581285444234405,0.031663516068052955
HIV,SMOTE,0.05,0.8355387523629489,0.05482041587901704
HIV,SMOTE,0.1,0.8804347826086957,0.00992438563327036
HIV,SMOTE,0.2,0.9725897920604916,0.0047258979206049045
HIV,SMOTE,0.3,0.998109640831758,0.0018903591682419285
HIV,SMOTE,0.5,1.0,0.0
HIV,SMOTE,0.75,1.0,0.0
HIV,SMOTE,1.0,1.0,0.0
HIV,SMOTE,1.5,1.0,0.0
HIV,SMOTE,2.0,1.0,0.0
HIV,GMM-guided SMOTE,0.0,0.5741965973534972,0.02977315689981097
HIV,GMM-guided SMOTE,0.05,0.7849716446124764,0.08553875236294906
HIV,GMM-guided SMOTE,0.1,0.8525519848771266,0.0689981096408318
HIV,GMM-guided SMOTE,0.2,0.9366729678638941,0.025519848771266562
HIV,GMM-guided SMOTE,0.3,0.9820415879017013,0.008506616257088873
HIV,GMM-guided SMOTE,0.5,0.9971644612476371,0.0028355387523629205
HIV,GMM-guided SMOTE,0.75,1.0,0.0
HIV,GMM-guided SMOTE,1.0,1.0,0.0
HIV,GMM-guided SMOTE,1.5,1.0,0.0
HIV,GMM-guided SMOTE,2.0,1.0,0.0
HIV,CVAE,0.0,1.0,0.0
HIV,CVAE,0.05,1.0,0.0
HIV,CVAE,0.1,1.0,0.0
HIV,CVAE,0.2,1.0,0.0
HIV,CVAE,0.3,0.998109640831758,0.001890359168241984
HIV,CVAE,0.5,0.9858223062381852,0.008506616257088873
HIV,CVAE,0.75,0.9933837429111531,0.006616257088846944
HIV,CVAE,1.0,0.999054820415879,0.000945179584120992
HIV,CVAE,1.5,1.0,0.0
HIV,CVAE,2.0,1.0,0.0
HIV,WGAN-GP,0.0,1.0,0.0
HIV,WGAN-GP,0.05,1.0,0.0
HIV,WGAN-GP,0.1,1.0,0.0
HIV,WGAN-GP,0.2,1.0,0.0
HIV,WGAN-GP,0.3,1.0,0.0
HIV,WGAN-GP,0.5,0.9905482041587903,0.0018903591682420395
HIV,WGAN-GP,0.75,0.9905482041587902,0.009451795841209809
HIV,WGAN-GP,1.0,1.0,0.0
HIV,WGAN-GP,1.5,1.0,0.0
HIV,WGAN-GP,2.0,1.0,0.0
Breast Cancer,Bootstrap,0.0,0.7314956170589973,0.0008495026100659997
Breast Cancer,Bootstrap,0.05,0.7727149610952428,0.00023392100856889364
Breast Cancer,Bootstrap,0.1,0.6956318329557767,0.010120161528612226
Breast Cancer,Bootstrap,0.2,0.6534891165172855,0.007620900226534055
Breast Cancer,Bootstrap,0.3,0.8696075051708854,0.018135033980104465
Breast Cancer,Bootstrap,0.5,0.9723603860927804,0.004518368954988694
Breast Cancer,Bootstrap,0.75,0.995136905348173,0.00028316753668866657
