dataset,method,run,separability_auc
HIV,Bootstrap,0,0.7032136105860114
HIV,Bootstrap,1,0.7325141776937618
HIV,Bootstrap,2,0.7996219281663516
HIV,Column-wise,0,0.9404536862003781
HIV,Column-wise,1,0.9139886578449905
HIV,Column-wise,2,0.8553875236294897
HIV,GMM,0,1.0
HIV,GMM,1,1.0
HIV,GMM,2,1.0
HIV,SMOTE,0,0.5264650283553876
HIV,SMOTE,1,0.5727788279773157
HIV,SMOTE,2,0.5236294896030245
HIV,GMM-guided SMOTE,0,0.5444234404536862
HIV,GMM-guided SMOTE,1,0.5595463137996219
HIV,GMM-guided SMOTE,2,0.553875236294896
HIV,CVAE,0,1.0
HIV,CVAE,1,1.0
HIV,CVAE,2,1.0
HIV,WGAN-GP,0,1.0
HIV,WGAN-GP,1,1.0
HIV,WGAN-GP,2,1.0
Breast Cancer,Bootstrap,0,0.7306461144489313
Breast Cancer,Bootstrap,1,0.7322220033487639
Breast Cancer,Bootstrap,2,0.7136806855116714
Breast Cancer,Column-wise,0,0.9991874322860238
Breast Cancer,Column-wise,1,0.9998522604156408
Breast Cancer,Column-wise,2,0.9995075347188024
Breast Cancer,GMM,0,0.995543189205161
Breast Cancer,GMM,1,0.9929577464788732
Breast Cancer,GMM,2,0.9920959322367773
Breast Cancer,SMOTE,0,0.5276273022751896
Breast Cancer,SMOTE,1,0.5194031320791885
Breast Cancer,SMOTE,2,0.5758642765685019
Breast Cancer,GMM-guided SMOTE,0,0.6043533930857874
Breast Cancer,GMM-guided SMOTE,1,0.580715059588299
Breast Cancer,GMM-guided SMOTE,2,0.5721461636954595
Breast Cancer,CVAE,0,0.9649857185068452
Breast Cancer,CVAE,1,0.9493006993006993
Breast Cancer,CVAE,2,0.9743425588496011
Breast Cancer,WGAN-GP,0,1.0
Breast Cancer,WGAN-GP,1,1.0
Breast Cancer,WGAN-GP,2,1.0
Diabetes,Bootstrap,0,0.7210557725694444
Diabetes,Bootstrap,1,0.7102728949652778
Diabetes,Bootstrap,2,0.7490912543402778
Diabetes,Column-wise,0,0.790011935763889
Diabetes,Column-wise,1,0.757961697048611
Diabetes,Column-wise,2,0.7570122612847222
Diabetes,GMM,0,0.9827473958333334
Diabetes,GMM,1,0.9775661892361112
Diabetes,GMM,2,0.9764539930555556
Diabetes,SMOTE,0,0.7172851562499998
Diabetes,SMOTE,1,0.6773817274305556
Diabetes,SMOTE,2,0.7341986762152778
Diabetes,GMM-guided SMOTE,0,0.7396918402777779
Diabetes,GMM-guided SMOTE,1,0.7145317925347221
Diabetes,GMM-guided SMOTE,2,0.747314453125
Diabetes,CVAE,0,0.9749213324652779
Diabetes,CVAE,1,0.9799804687499999
Diabetes,CVAE,2,0.9818929036458334
Diabetes,WGAN-GP,0,0.9998372395833334
Diabetes,WGAN-GP,1,0.9999186197916666
Diabetes,WGAN-GP,2,0.999782986111111
