dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
HIV,Bootstrap,0,0.0,0.7070415879017012,0.05072583871035641
HIV,Bootstrap,9,14.285714285714286,0.7229206049149338,0.04270211632625399
HIV,Bootstrap,17,26.984126984126984,0.7300094517958413,0.04367637427233003
HIV,Bootstrap,26,41.26984126984127,0.7359640831758034,0.04625229800222314
HIV,Bootstrap,35,55.55555555555556,0.7420132325141776,0.04654803138989791
HIV,Bootstrap,44,69.84126984126983,0.7394612476370509,0.048021518224638605
HIV,Bootstrap,52,82.53968253968254,0.7510869565217393,0.04712293746249498
HIV,Bootstrap,61,96.82539682539682,0.6707939508506616,0.04785829814057645
HIV,Column-wise,0,0.0,0.8878544423440454,0.051414880763683675
HIV,Column-wise,9,14.285714285714286,0.8356332703213611,0.06771596633004408
HIV,Column-wise,17,26.984126984126984,0.7796313799621928,0.06931026766853424
HIV,Column-wise,26,41.26984126984127,0.7488657844990548,0.09062497978377643
HIV,Column-wise,35,55.55555555555556,0.6988657844990548,0.07981950650922816
HIV,Column-wise,44,69.84126984126983,0.5873345935727788,0.05124268255042718
HIV,Column-wise,52,82.53968253968254,0.553733459357278,0.0289852461222177
HIV,Column-wise,61,96.82539682539682,0.5495746691871456,0.03348721379467889
HIV,GMM,0,0.0,1.0,0.0
HIV,GMM,9,14.285714285714286,0.9535916824196597,0.043638133781806414
HIV,GMM,17,26.984126984126984,0.8472589792060491,0.07235681540337134
HIV,GMM,26,41.26984126984127,0.767296786389414,0.0786106490838994
HIV,GMM,35,55.55555555555556,0.7551512287334593,0.07063121247366251
HIV,GMM,44,69.84126984126983,0.7224007561436674,0.077311472377696
HIV,GMM,52,82.53968253968254,0.5678638941398867,0.04094995320458367
HIV,GMM,61,96.82539682539682,0.5811436672967863,0.05088655436307652
HIV,SMOTE,0,0.0,0.597164461247637,0.044415999054980025
HIV,SMOTE,9,14.285714285714286,0.6771266540642722,0.03976320072041275
HIV,SMOTE,17,26.984126984126984,0.687476370510397,0.03586489505376181
HIV,SMOTE,26,41.26984126984127,0.7037334593572779,0.04256822219823131
HIV,SMOTE,35,55.55555555555556,0.7221644612476371,0.0440634926648202
HIV,SMOTE,44,69.84126984126983,0.7259924385633271,0.04597004093900899
