dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
HIV,Bootstrap,0,0.0,0.7046313799621928,0.018431001890359122
HIV,Bootstrap,9,14.285714285714286,0.7140831758034027,0.008979206049149313
HIV,Bootstrap,17,26.984126984126984,0.7433837429111532,0.011814744801512289
HIV,Bootstrap,26,41.26984126984127,0.751890359168242,0.01654064272211725
HIV,Bootstrap,35,55.55555555555556,0.755671077504726,0.001417769376181488
HIV,Bootstrap,44,69.84126984126983,0.7585066162570888,0.009924385633270305
HIV,Bootstrap,52,82.53968253968254,0.7689035916824196,0.012759924385633281
HIV,Bootstrap,61,96.82539682539682,0.7131379962192816,0.025047258979206066
HIV,Column-wise,0,0.0,0.9267485822306238,0.0004725897920605515
HIV,Column-wise,9,14.285714285714286,0.8761814744801513,0.026465028355387554
HIV,Column-wise,17,26.984126984126984,0.7911153119092629,0.0264650283553875
HIV,Column-wise,26,41.26984126984127,0.7655954631379962,0.026465028355387554
HIV,Column-wise,35,55.55555555555556,0.7140831758034025,0.034499054820415875
HIV,Column-wise,44,69.84126984126983,0.5897920604914935,0.05198487712665406
HIV,Column-wise,52,82.53968253968254,0.5378071833648392,0.008506616257088817
HIV,Column-wise,61,96.82539682539682,0.5170132325141776,0.006616257088846889
HIV,GMM,0,0.0,1.0,0.0
HIV,GMM,9,14.285714285714286,0.968336483931947,0.006143667296786448
HIV,GMM,17,26.984126984126984,0.8634215500945179,0.03260869565217395
HIV,GMM,26,41.26984126984127,0.7655954631379962,0.061436672967863926
HIV,GMM,35,55.55555555555556,0.7386578449905481,0.021266540642722098
HIV,GMM,44,69.84126984126983,0.7372400756143667,0.044423440453686236
HIV,GMM,52,82.53968253968254,0.5647448015122873,0.02032136105860116
HIV,GMM,61,96.82539682539682,0.5467863894139886,0.012759924385633281
HIV,SMOTE,0,0.0,0.5415879017013232,0.023629489603024634
HIV,SMOTE,9,14.285714285714286,0.6271266540642723,0.02504725897920601
HIV,SMOTE,17,26.984126984126984,0.6502835538752363,0.016068052930056753
HIV,SMOTE,26,41.26984126984127,0.6573724007561437,0.03827977315689979
HIV,SMOTE,35,55.55555555555556,0.6748582230623819,0.009451795841209865
HIV,SMOTE,44,69.84126984126983,0.6819470699432892,0.018431001890359178
HIV,SMOTE,52,82.53968253968254,0.6649338374291116,0.034499054820415875
HIV,SMOTE,61,96.82539682539682,0.6488657844990549,0.05056710775047263
HIV,GMM-guided SMOTE,0,0.0,0.5335538752362949,0.0042533081285444085
HIV,GMM-guided SMOTE,9,14.285714285714286,0.5387523629489602,0.002835538752362976
HIV,GMM-guided SMOTE,17,26.984126984126984,0.558601134215501,0.002835538752362976
HIV,GMM-guided SMOTE,26,41.26984126984127,0.5529300567107751,0.0056710775047258966
HIV,GMM-guided SMOTE,35,55.55555555555556,0.5581285444234404,0.008034026465028377
HIV,GMM-guided SMOTE,44,69.84126984126983,0.5652173913043479,0.0047258979206049045
HIV,GMM-guided SMOTE,52,82.53968253968254,0.6105860113421551,0.0047258979206049045
HIV,GMM-guided SMOTE,61,96.82539682539682,0.5411153119092628,0.02977315689981097
HIV,CVAE,0,0.0,0.999054820415879,0.000945179584120992
HIV,CVAE,9,14.285714285714286,0.999054820415879,0.000945179584120992
HIV,CVAE,17,26.984126984126984,0.9952741020793952,0.0009451795841209365
HIV,CVAE,26,41.26984126984127,0.9914933837429112,0.0009451795841209365
HIV,CVAE,35,55.55555555555556,0.9858223062381853,0.00472589792060496
HIV,CVAE,44,69.84126984126983,0.9508506616257089,0.013232514177693666
HIV,CVAE,52,82.53968253968254,0.9706994328922496,0.0047258979206049045
HIV,CVAE,61,96.82539682539682,0.9106805293005671,0.008034026465028321
HIV,WGAN-GP,0,0.0,1.0,0.0
HIV,WGAN-GP,9,14.285714285714286,1.0,0.0
HIV,WGAN-GP,17,26.984126984126984,1.0,0.0
HIV,WGAN-GP,26,41.26984126984127,1.0,0.0
HIV,WGAN-GP,35,55.55555555555556,1.0,0.0
HIV,WGAN-GP,44,69.84126984126983,1.0,0.0
HIV,WGAN-GP,52,82.53968253968254,1.0,0.0
HIV,WGAN-GP,61,96.82539682539682,0.9877126654064272,0.012287334593572785
Breast Cancer,Bootstrap,0,0.0,0.7335762828720575,0.0034226337043238297
Breast Cancer,Bootstrap,4,13.333333333333334,0.741948192652418,0.002486949670048255
Breast Cancer,Bootstrap,8,26.666666666666668,0.7441396631537476,0.0037427361371023538
Breast Cancer,Bootstrap,12,40.0,0.7450753471880233,0.00566335073377322
Breast Cancer,Bootstrap,16,53.333333333333336,0.7428346301585738,0.00283167536688661
Breast Cancer,Bootstrap,20,66.66666666666667,0.745543189205161,0.007854821235102949
Breast Cancer,Bootstrap,24,80.0,0.7443858957943466,0.010932729242588424
Breast Cancer,Bootstrap,28,93.33333333333333,0.7435733280803704,0.003915098985521559
Breast Cancer,Column-wise,0,0.0,0.999593716143012,0.0002585442726287801
Breast Cancer,Column-wise,4,13.333333333333334,0.9927853836304541,0.0033241406480842284
Breast Cancer,Column-wise,8,26.666666666666668,0.9854107160445189,0.005306313404905005
Breast Cancer,Column-wise,12,40.0,0.9814217472668176,0.007719393282773546
Breast Cancer,Column-wise,16,53.333333333333336,0.9561459667093469,0.020437309169703544
Breast Cancer,Column-wise,20,66.66666666666667,0.9086230670737714,0.02353984044124885
Breast Cancer,Column-wise,24,80.0,0.8523835319609967,0.007411602482025048
Breast Cancer,Column-wise,28,93.33333333333333,0.6235472274204669,0.0030409731113956173
Breast Cancer,GMM,0,0.0,0.9939549886732986,0.002056042549000381
Breast Cancer,GMM,4,13.333333333333334,0.9060991825076332,0.0013419678912636734
Breast Cancer,GMM,8,26.666666666666668,0.7870457007780951,0.03189943858957944
Breast Cancer,GMM,12,40.0,0.7140007879444499,0.026322269280015798
Breast Cancer,GMM,16,53.333333333333336,0.6098197577070816,0.015783512262385446
Breast Cancer,GMM,20,66.66666666666667,0.5648576775337338,0.02432778489116516
Breast Cancer,GMM,24,80.0,0.5481507928691027,0.007276174529695645
Breast Cancer,GMM,28,93.33333333333333,0.543213828425096,0.00556485767753373
Breast Cancer,SMOTE,0,0.0,0.5299911356249384,0.008248793460061132
Breast Cancer,SMOTE,4,13.333333333333334,0.5433861912735152,0.01361666502511577
Breast Cancer,SMOTE,8,26.666666666666668,0.5550206835418103,0.009270658918546282
Breast Cancer,SMOTE,12,40.0,0.5752486949670048,0.013493548704816338
Breast Cancer,SMOTE,16,53.333333333333336,0.5818600413670836,0.015721954102235813
Breast Cancer,SMOTE,20,66.66666666666667,0.6217620407761253,0.03671328671328672
Breast Cancer,SMOTE,24,80.0,0.6826184379001281,0.028772284053974195
Breast Cancer,SMOTE,28,93.33333333333333,0.650645129518369,0.024598640795823967
Breast Cancer,GMM-guided SMOTE,0,0.0,0.5955136412882891,0.013592041761055829
Breast Cancer,GMM-guided SMOTE,4,13.333333333333334,0.6127253028661479,0.008027184083522154
Breast Cancer,GMM-guided SMOTE,8,26.666666666666668,0.615483108440855,0.008839751797498241
Breast Cancer,GMM-guided SMOTE,12,40.0,0.6263665911553236,0.013838274401654749
Breast Cancer,GMM-guided SMOTE,16,53.333333333333336,0.6460898256672905,0.00036934896089824143
Breast Cancer,GMM-guided SMOTE,20,66.66666666666667,0.6480596867920811,0.00888899832561807
Breast Cancer,GMM-guided SMOTE,24,80.0,0.6830000984930562,0.015118684132768623
Breast Cancer,GMM-guided SMOTE,28,93.33333333333333,0.6681892051610362,0.019440066975278225
Breast Cancer,CVAE,0,0.0,0.9588422141239042,0.008236481828031161
Breast Cancer,CVAE,4,13.333333333333334,0.9274844873436423,0.00967694277553427
Breast Cancer,CVAE,8,26.666666666666668,0.9199743918053778,0.00915985423027671
Breast Cancer,CVAE,12,40.0,0.9033536885649562,0.011252831675366837
Breast Cancer,CVAE,16,53.333333333333336,0.893627499261302,0.009085984438097106
Breast Cancer,CVAE,20,66.66666666666667,0.8747660789914311,0.003570373288683204
Breast Cancer,CVAE,24,80.0,0.8434945336353787,0.016596079976361644
Breast Cancer,CVAE,28,93.33333333333333,0.7028587609573524,0.019907908992416068
Breast Cancer,WGAN-GP,0,0.0,1.0,0.0
Breast Cancer,WGAN-GP,4,13.333333333333334,1.0,0.0
Breast Cancer,WGAN-GP,8,26.666666666666668,1.0,0.0
Breast Cancer,WGAN-GP,12,40.0,1.0,0.0
Breast Cancer,WGAN-GP,16,53.333333333333336,1.0,0.0
Breast Cancer,WGAN-GP,20,66.66666666666667,0.9994582881906826,0.0004432187530779008
Breast Cancer,WGAN-GP,24,80.0,0.9989658229094849,0.0004924652811977293
Breast Cancer,WGAN-GP,28,93.33333333333333,0.9495099970452083,0.0006525164975868525
Diabetes,Bootstrap,0,0.0,0.7110392252604166,0.0025838216145833703
Diabetes,Bootstrap,1,12.5,0.7154608832465278,0.0017564561631944198
Diabetes,Bootstrap,2,25.0,0.7134535047743056,0.009202745225694475
Diabetes,Bootstrap,3,37.5,0.7169528537326388,0.008334689670138895
Diabetes,Bootstrap,4,50.0,0.7095472547743056,0.01342095269097221
Diabetes,Bootstrap,5,62.5,0.6683756510416667,0.015109592013888895
Diabetes,Bootstrap,6,75.0,0.5998196072048612,0.008660210503472265
Diabetes,Column-wise,0,0.0,0.7777506510416667,0.018202039930555525
Diabetes,Column-wise,1,12.5,0.7462022569444445,0.01105414496527779
