dataset,method,fraction,separability_auc
HIV,Bootstrap,0.25,0.7999999999999999
HIV,Bootstrap,0.25,0.8
HIV,Bootstrap,0.25,0.85
HIV,Bootstrap,0.25,0.75
HIV,Bootstrap,0.25,0.6166666666666667
HIV,Column-wise,0.25,0.7333333333333334
HIV,Column-wise,0.25,0.8
HIV,Column-wise,0.25,1.0
HIV,Column-wise,0.25,0.65
HIV,Column-wise,0.25,0.8166666666666667
HIV,GMM,0.25,1.0
HIV,GMM,0.25,0.7666666666666666
HIV,GMM,0.25,0.8333333333333334
HIV,GMM,0.25,1.0
HIV,GMM,0.25,0.6
HIV,SMOTE,0.25,0.5
HIV,SMOTE,0.25,0.7333333333333334
HIV,SMOTE,0.25,0.6333333333333333
HIV,SMOTE,0.25,0.6666666666666667
HIV,SMOTE,0.25,0.65
HIV,GMM-guided SMOTE,0.25,0.5333333333333333
HIV,GMM-guided SMOTE,0.25,0.55
HIV,GMM-guided SMOTE,0.25,0.8333333333333334
HIV,GMM-guided SMOTE,0.25,0.7333333333333334
HIV,GMM-guided SMOTE,0.25,0.9333333333333333
HIV,CVAE,0.25,1.0
HIV,CVAE,0.25,1.0
HIV,CVAE,0.25,1.0
HIV,CVAE,0.25,1.0
HIV,CVAE,0.25,1.0
HIV,Bootstrap,0.5,0.8181818181818181
HIV,Bootstrap,0.5,0.7651515151515151
HIV,Bootstrap,0.5,0.7727272727272727
HIV,Bootstrap,0.5,0.821969696969697
HIV,Bootstrap,0.5,0.6628787878787878
HIV,Column-wise,0.5,0.5075757575757576
HIV,Column-wise,0.5,0.7462121212121212
HIV,Column-wise,0.5,0.5946969696969697
HIV,Column-wise,0.5,0.6022727272727273
HIV,Column-wise,0.5,0.6401515151515151
HIV,GMM,0.5,1.0
HIV,GMM,0.5,1.0
HIV,GMM,0.5,1.0
HIV,GMM,0.5,1.0
HIV,GMM,0.5,1.0
HIV,SMOTE,0.5,0.75
HIV,SMOTE,0.5,0.6287878787878788
HIV,SMOTE,0.5,0.8636363636363636
HIV,SMOTE,0.5,0.6931818181818181
HIV,SMOTE,0.5,0.7954545454545454
HIV,GMM-guided SMOTE,0.5,0.5227272727272727
HIV,GMM-guided SMOTE,0.5,0.5606060606060606
HIV,GMM-guided SMOTE,0.5,0.6515151515151515
HIV,GMM-guided SMOTE,0.5,0.5984848484848485
HIV,GMM-guided SMOTE,0.5,0.8106060606060606
HIV,CVAE,0.5,0.9924242424242424
HIV,CVAE,0.5,1.0
HIV,CVAE,0.5,0.9848484848484849
HIV,CVAE,0.5,1.0
HIV,CVAE,0.5,1.0
HIV,Bootstrap,0.75,0.5847750865051904
HIV,Bootstrap,0.75,0.6955017301038062
HIV,Bootstrap,0.75,0.5190311418685121
HIV,Bootstrap,0.75,0.5432525951557093
HIV,Bootstrap,0.75,0.6401384083044983
HIV,Column-wise,0.75,0.7006920415224913
HIV,Column-wise,0.75,0.8546712802768166
HIV,Column-wise,0.75,0.8719723183391003
HIV,Column-wise,0.75,0.8927335640138409
HIV,Column-wise,0.75,0.8373702422145328
HIV,GMM,0.75,1.0
HIV,GMM,0.75,1.0
HIV,GMM,0.75,1.0
HIV,GMM,0.75,1.0
HIV,GMM,0.75,1.0
HIV,SMOTE,0.75,0.5294117647058824
HIV,SMOTE,0.75,0.5432525951557093
HIV,SMOTE,0.75,0.527681660899654
HIV,SMOTE,0.75,0.6401384083044983
HIV,SMOTE,0.75,0.527681660899654
HIV,GMM-guided SMOTE,0.75,0.5830449826989619
HIV,GMM-guided SMOTE,0.75,0.6089965397923875
HIV,GMM-guided SMOTE,0.75,0.6055363321799307
HIV,GMM-guided SMOTE,0.75,0.657439446366782
HIV,GMM-guided SMOTE,0.75,0.5934256055363322
HIV,CVAE,0.75,1.0
HIV,CVAE,0.75,1.0
HIV,CVAE,0.75,1.0
HIV,CVAE,0.75,1.0
HIV,CVAE,0.75,1.0
HIV,Bootstrap,1.0,0.6899810964083176
HIV,Bootstrap,1.0,0.7646502835538752
HIV,Bootstrap,1.0,0.8034026465028355
HIV,Bootstrap,1.0,0.7476370510396976
HIV,Bootstrap,1.0,0.6531190926275992
HIV,Column-wise,1.0,0.948015122873346
HIV,Column-wise,1.0,0.8676748582230623
HIV,Column-wise,1.0,0.9338374291115312
HIV,Column-wise,1.0,0.9007561436672967
HIV,Column-wise,1.0,0.8988657844990549
HIV,GMM,1.0,1.0
HIV,GMM,1.0,1.0
