dataset,method,fraction,separability_auc
HIV,Bootstrap,0.25,0.7999999999999999
HIV,Column-wise,0.25,0.7333333333333334
HIV,GMM,0.25,1.0
HIV,SMOTE,0.25,0.5
HIV,GMM-guided SMOTE,0.25,0.5333333333333333
HIV,CVAE,0.25,1.0
HIV,WGAN-GP,0.25,1.0
HIV,Bootstrap,0.5,0.8181818181818181
HIV,Column-wise,0.5,0.5075757575757576
HIV,GMM,0.5,1.0
HIV,SMOTE,0.5,0.75
HIV,GMM-guided SMOTE,0.5,0.5227272727272727
HIV,CVAE,0.5,1.0
HIV,WGAN-GP,0.5,1.0
HIV,Bootstrap,0.75,0.5847750865051904
HIV,Column-wise,0.75,0.7006920415224913
HIV,GMM,0.75,1.0
HIV,SMOTE,0.75,0.5294117647058824
HIV,GMM-guided SMOTE,0.75,0.5830449826989619
HIV,CVAE,0.75,1.0
HIV,WGAN-GP,0.75,1.0
HIV,Bootstrap,1.0,0.6899810964083176
HIV,Column-wise,1.0,0.948015122873346
HIV,GMM,1.0,1.0
HIV,SMOTE,1.0,0.5453686200378072
HIV,GMM-guided SMOTE,1.0,0.5160680529300568
HIV,CVAE,1.0,1.0
HIV,WGAN-GP,1.0,1.0
Breast Cancer,Bootstrap,0.25,0.711111111111111
Breast Cancer,Column-wise,0.25,0.9384920634920635
Breast Cancer,GMM,0.25,0.986111111111111
Breast Cancer,SMOTE,0.25,0.5630952380952381
Breast Cancer,GMM-guided SMOTE,0.25,0.7007936507936507
Breast Cancer,CVAE,0.25,1.0
Breast Cancer,WGAN-GP,0.25,1.0
Breast Cancer,Bootstrap,0.5,0.7647292203927792
Breast Cancer,Column-wise,0.5,0.9952390398730411
Breast Cancer,GMM,0.5,0.9803610394762944
Breast Cancer,SMOTE,0.5,0.6585002975600079
Breast Cancer,GMM-guided SMOTE,0.5,0.6184288831581035
Breast Cancer,CVAE,0.5,0.9992065066455068
Breast Cancer,WGAN-GP,0.5,1.0
Breast Cancer,Bootstrap,0.75,0.6797302063128197
Breast Cancer,Column-wise,0.75,1.0
Breast Cancer,GMM,0.75,0.9927702345265386
Breast Cancer,SMOTE,0.75,0.5142831952036677
Breast Cancer,GMM-guided SMOTE,0.75,0.5277287956268735
Breast Cancer,CVAE,0.75,0.993519661435373
Breast Cancer,WGAN-GP,0.75,1.0
Breast Cancer,Bootstrap,1.0,0.7242440657933615
Breast Cancer,Column-wise,1.0,0.9998030138875209
Breast Cancer,GMM,1.0,0.9923914114054959
Breast Cancer,SMOTE,1.0,0.5098246823598936
Breast Cancer,GMM-guided SMOTE,1.0,0.5535063528021275
Breast Cancer,CVAE,1.0,0.9950014773958437
Breast Cancer,WGAN-GP,1.0,1.0
Diabetes,Bootstrap,0.25,0.7918836805555556
Diabetes,Column-wise,0.25,0.5980902777777778
Diabetes,GMM,0.25,0.9600694444444444
Diabetes,SMOTE,0.25,0.5104166666666667
Diabetes,GMM-guided SMOTE,0.25,0.5164930555555556
Diabetes,CVAE,0.25,0.9969618055555555
Diabetes,WGAN-GP,0.25,1.0
Diabetes,Bootstrap,0.5,0.7044270833333334
Diabetes,Column-wise,0.5,0.6966145833333334
Diabetes,GMM,0.5,0.9696180555555556
Diabetes,SMOTE,0.5,0.6096462673611112
Diabetes,GMM-guided SMOTE,0.5,0.6482204861111112
Diabetes,CVAE,0.5,0.98095703125
Diabetes,WGAN-GP,0.5,1.0
Diabetes,Bootstrap,0.75,0.6967110339506173
Diabetes,Column-wise,0.75,0.77734375
Diabetes,GMM,0.75,0.9694251543209877
Diabetes,SMOTE,0.75,0.6771556712962963
Diabetes,GMM-guided SMOTE,0.75,0.6979166666666666
Diabetes,CVAE,0.75,0.9748987268518519
Diabetes,WGAN-GP,0.75,1.0
Diabetes,Bootstrap,1.0,0.7204861111111112
Diabetes,Column-wise,1.0,0.7949083116319444
Diabetes,GMM,1.0,0.9778510199652777
Diabetes,SMOTE,1.0,0.7176513671875001
Diabetes,GMM-guided SMOTE,1.0,0.740383572048611
Diabetes,CVAE,1.0,0.9766031901041666
Diabetes,WGAN-GP,1.0,1.0
