dataset,method,repeat,tstr_f1,trtr_f1
HIV,Bootstrap,0,0.9784172661870504,0.9787994891443168
HIV,Bootstrap,1,0.9714285714285714,0.9574844006568146
HIV,Bootstrap,2,0.9714285714285714,0.9714103265827404
HIV,Bootstrap,3,0.9784172661870504,0.9718518518518519
HIV,Bootstrap,4,0.9714285714285714,0.9653333333333334
HIV,Bootstrap,5,0.9855072463768116,0.9719211822660098
HIV,Bootstrap,6,0.9784172661870504,0.9603345280764636
HIV,Bootstrap,7,0.9714285714285714,0.9496989600437876
HIV,Bootstrap,8,0.9714285714285714,0.9719029374201789
HIV,Bootstrap,9,0.9714285714285714,0.97192118226601
HIV,Bootstrap,10,0.9714285714285714,0.9728735632183909
HIV,Bootstrap,11,0.9714285714285714,0.9594628952804705
HIV,Bootstrap,12,0.9784172661870504,0.9723809523809525
HIV,Bootstrap,13,0.9784172661870504,0.958128078817734
HIV,Bootstrap,14,0.9714285714285714,0.9723627075351213
HIV,Bootstrap,15,0.9714285714285714,0.9713920817369093
HIV,Bootstrap,16,0.9784172661870504,0.9713920817369093
HIV,Bootstrap,17,0.9714285714285714,0.9645137748586023
HIV,Bootstrap,18,0.9784172661870504,0.9713920817369093
HIV,Bootstrap,19,0.9784172661870504,0.9782886334610472
HIV,Column-wise,0,0.9852941176470589,0.9787994891443168
HIV,Column-wise,1,0.9777777777777777,0.9574844006568146
HIV,Column-wise,2,0.9927007299270073,0.9714103265827404
HIV,Column-wise,3,0.9852941176470589,0.9718518518518519
HIV,Column-wise,4,0.9927007299270073,0.9653333333333334
HIV,Column-wise,5,0.9927007299270073,0.9719211822660098
HIV,Column-wise,6,0.9927007299270073,0.9603345280764636
HIV,Column-wise,7,0.9927007299270073,0.9496989600437876
HIV,Column-wise,8,0.9927007299270073,0.9719029374201789
HIV,Column-wise,9,0.9852941176470589,0.97192118226601
HIV,Column-wise,10,0.9852941176470589,0.9728735632183909
HIV,Column-wise,11,0.9852941176470589,0.9594628952804705
HIV,Column-wise,12,0.9927007299270073,0.9723809523809525
HIV,Column-wise,13,0.9927007299270073,0.958128078817734
HIV,Column-wise,14,0.9852941176470589,0.9723627075351213
HIV,Column-wise,15,0.9927007299270073,0.9713920817369093
HIV,Column-wise,16,0.9852941176470589,0.9713920817369093
HIV,Column-wise,17,0.9927007299270073,0.9645137748586023
HIV,Column-wise,18,0.9927007299270073,0.9713920817369093
HIV,Column-wise,19,0.9852941176470589,0.9782886334610472
HIV,GMM,0,0.9784172661870504,0.9787994891443168
HIV,GMM,1,0.9855072463768116,0.9574844006568146
HIV,GMM,2,0.9784172661870504,0.9714103265827404
HIV,GMM,3,0.9784172661870504,0.9718518518518519
HIV,GMM,4,0.9784172661870504,0.9653333333333334
HIV,GMM,5,0.9784172661870504,0.9719211822660098
HIV,GMM,6,0.9855072463768116,0.9603345280764636
HIV,GMM,7,0.9784172661870504,0.9496989600437876
HIV,GMM,8,0.9855072463768116,0.9719029374201789
HIV,GMM,9,0.9784172661870504,0.97192118226601
HIV,GMM,10,0.9855072463768116,0.9728735632183909
HIV,GMM,11,0.9855072463768116,0.9594628952804705
HIV,GMM,12,0.9784172661870504,0.9723809523809525
HIV,GMM,13,0.9784172661870504,0.958128078817734
HIV,GMM,14,0.9784172661870504,0.9723627075351213
HIV,GMM,15,0.9784172661870504,0.9713920817369093
HIV,GMM,16,0.9855072463768116,0.9713920817369093
HIV,GMM,17,0.9784172661870504,0.9645137748586023
HIV,GMM,18,0.9784172661870504,0.9713920817369093
HIV,GMM,19,0.9784172661870504,0.9782886334610472
HIV,SMOTE,0,0.9640287769784173,0.9787994891443168
HIV,SMOTE,1,0.9710144927536232,0.9574844006568146
HIV,SMOTE,2,0.9710144927536232,0.9714103265827404
HIV,SMOTE,3,0.9710144927536232,0.9718518518518519
HIV,SMOTE,4,0.9710144927536232,0.9653333333333334
HIV,SMOTE,5,0.9781021897810219,0.9719211822660098
HIV,SMOTE,6,0.9781021897810219,0.9603345280764636
HIV,SMOTE,7,0.9710144927536232,0.9496989600437876
HIV,SMOTE,8,0.9640287769784173,0.9719029374201789
HIV,SMOTE,9,0.9781021897810219,0.97192118226601
HIV,SMOTE,10,0.9781021897810219,0.9728735632183909
HIV,SMOTE,11,0.9710144927536232,0.9594628952804705
HIV,SMOTE,12,0.9710144927536232,0.9723809523809525
HIV,SMOTE,13,0.9710144927536232,0.958128078817734
HIV,SMOTE,14,0.9781021897810219,0.9723627075351213
HIV,SMOTE,15,0.9781021897810219,0.9713920817369093
HIV,SMOTE,16,0.9781021897810219,0.9713920817369093
HIV,SMOTE,17,0.9710144927536232,0.9645137748586023
HIV,SMOTE,18,0.9781021897810219,0.9713920817369093
HIV,SMOTE,19,0.9710144927536232,0.9782886334610472
HIV,GMM-guided SMOTE,0,0.9784172661870504,0.9787994891443168
HIV,GMM-guided SMOTE,1,0.9784172661870504,0.9574844006568146
HIV,GMM-guided SMOTE,2,0.9855072463768116,0.9714103265827404
HIV,GMM-guided SMOTE,3,0.9855072463768116,0.9718518518518519
HIV,GMM-guided SMOTE,4,0.9855072463768116,0.9653333333333334
HIV,GMM-guided SMOTE,5,0.9784172661870504,0.9719211822660098
HIV,GMM-guided SMOTE,6,0.9855072463768116,0.9603345280764636
HIV,GMM-guided SMOTE,7,0.9784172661870504,0.9496989600437876
HIV,GMM-guided SMOTE,8,0.9784172661870504,0.9719029374201789
HIV,GMM-guided SMOTE,9,0.9784172661870504,0.97192118226601
HIV,GMM-guided SMOTE,10,0.9855072463768116,0.9728735632183909
HIV,GMM-guided SMOTE,11,0.9784172661870504,0.9594628952804705
HIV,GMM-guided SMOTE,12,0.9855072463768116,0.9723809523809525
HIV,GMM-guided SMOTE,13,0.9784172661870504,0.958128078817734
HIV,GMM-guided SMOTE,14,0.9855072463768116,0.9723627075351213
HIV,GMM-guided SMOTE,15,0.9855072463768116,0.9713920817369093
HIV,GMM-guided SMOTE,16,0.9710144927536232,0.9713920817369093
HIV,GMM-guided SMOTE,17,0.9855072463768116,0.9645137748586023
HIV,GMM-guided SMOTE,18,0.9784172661870504,0.9713920817369093
HIV,GMM-guided SMOTE,19,0.9784172661870504,0.9782886334610472
HIV,CVAE,0,0.9640287769784173,0.9787994891443168
HIV,CVAE,1,0.9640287769784173,0.9574844006568146
HIV,CVAE,2,0.9635036496350365,0.9714103265827404
HIV,CVAE,3,0.9571428571428572,0.9718518518518519
HIV,CVAE,4,0.9640287769784173,0.9653333333333334
HIV,CVAE,5,0.9710144927536232,0.9719211822660098
HIV,CVAE,6,0.9571428571428572,0.9603345280764636
HIV,CVAE,7,0.9640287769784173,0.9496989600437876
HIV,CVAE,8,0.9571428571428572,0.9719029374201789
HIV,CVAE,9,0.9640287769784173,0.97192118226601
HIV,CVAE,10,0.9571428571428572,0.9728735632183909
HIV,CVAE,11,0.9640287769784173,0.9594628952804705
HIV,CVAE,12,0.9710144927536232,0.9723809523809525
HIV,CVAE,13,0.9640287769784173,0.958128078817734
HIV,CVAE,14,0.9640287769784173,0.9723627075351213
HIV,CVAE,15,0.9640287769784173,0.9713920817369093
HIV,CVAE,16,0.9640287769784173,0.9713920817369093
HIV,CVAE,17,0.9640287769784173,0.9645137748586023
HIV,CVAE,18,0.9496402877697842,0.9713920817369093
HIV,CVAE,19,0.9640287769784173,0.9782886334610472
Breast Cancer,Bootstrap,0,0.988795518207283,0.9693090695899409
Breast Cancer,Bootstrap,1,0.988795518207283,0.9708217339834629
Breast Cancer,Bootstrap,2,0.988795518207283,0.9693457004384639
Breast Cancer,Bootstrap,3,0.9873772791023843,0.9721019255727505
Breast Cancer,Bootstrap,4,0.988795518207283,0.9653388938833949
Breast Cancer,Bootstrap,5,0.988795518207283,0.9651268184702835
Breast Cancer,Bootstrap,6,0.988795518207283,0.9760991556439162
Breast Cancer,Bootstrap,7,0.9859550561797753,0.966544694946722
Breast Cancer,Bootstrap,8,0.9902097902097902,0.9667799902865468
Breast Cancer,Bootstrap,9,0.988795518207283,0.9696248109727529
Breast Cancer,Bootstrap,10,0.9874125874125874,0.9679932432166384
Breast Cancer,Bootstrap,11,0.988795518207283,0.9708713059980912
Breast Cancer,Bootstrap,12,0.9873772791023843,0.9664538468160264
Breast Cancer,Bootstrap,13,0.9859943977591037,0.9679659653137277
Breast Cancer,Bootstrap,14,0.9873772791023843,0.9707574934276237
Breast Cancer,Bootstrap,15,0.9874125874125874,0.9705158896269095
Breast Cancer,Bootstrap,16,0.988795518207283,0.9705801880897432
Breast Cancer,Bootstrap,17,0.9902097902097902,0.9677908494049359
Breast Cancer,Bootstrap,18,0.988795518207283,0.9708620689655172
Breast Cancer,Bootstrap,19,0.988795518207283,0.9666815530600982
Breast Cancer,Column-wise,0,0.9531914893617022,0.9693090695899409
Breast Cancer,Column-wise,1,0.9544159544159544,0.9708217339834629
Breast Cancer,Column-wise,2,0.9502133712660028,0.9693457004384639
Breast Cancer,Column-wise,3,0.9518413597733711,0.9721019255727505
Breast Cancer,Column-wise,4,0.9517045454545454,0.9653388938833949
Breast Cancer,Column-wise,5,0.9530583214793741,0.9651268184702835
Breast Cancer,Column-wise,6,0.9517045454545454,0.9760991556439162
Breast Cancer,Column-wise,7,0.9545454545454546,0.966544694946722
Breast Cancer,Column-wise,8,0.9531914893617022,0.9667799902865468
Breast Cancer,Column-wise,9,0.9545454545454546,0.9696248109727529
Breast Cancer,Column-wise,10,0.950354609929078,0.9679932432166384
Breast Cancer,Column-wise,11,0.9544159544159544,0.9708713059980912
Breast Cancer,Column-wise,12,0.9530583214793741,0.9664538468160264
Breast Cancer,Column-wise,13,0.9544159544159544,0.9679659653137277
Breast Cancer,Column-wise,14,0.9530583214793741,0.9707574934276237
Breast Cancer,Column-wise,15,0.950354609929078,0.9705158896269095
Breast Cancer,Column-wise,16,0.950354609929078,0.9705801880897432
Breast Cancer,Column-wise,17,0.9517045454545454,0.9677908494049359
Breast Cancer,Column-wise,18,0.9559032716927454,0.9708620689655172
Breast Cancer,Column-wise,19,0.9514285714285714,0.9666815530600982
Breast Cancer,GMM,0,0.9578651685393258,0.9693090695899409
Breast Cancer,GMM,1,0.9565217391304348,0.9708217339834629
Breast Cancer,GMM,2,0.9593267882187938,0.9693457004384639
Breast Cancer,GMM,3,0.9593267882187938,0.9721019255727505
Breast Cancer,GMM,4,0.9563994374120957,0.9653388938833949
Breast Cancer,GMM,5,0.9592123769338959,0.9651268184702835
Breast Cancer,GMM,6,0.9565217391304348,0.9760991556439162
Breast Cancer,GMM,7,0.9563994374120957,0.966544694946722
Breast Cancer,GMM,8,0.9578651685393258,0.9667799902865468
Breast Cancer,GMM,9,0.9592123769338959,0.9696248109727529
Breast Cancer,GMM,10,0.9563994374120957,0.9679932432166384
