dataset,method,run,separability_auc
HIV,Bootstrap,0,0.7032136105860114
HIV,Bootstrap,1,0.7117202268431002
HIV,Bootstrap,2,0.8156899810964083
HIV,Bootstrap,3,0.7136105860113422
HIV,Bootstrap,4,0.6947069943289225
HIV,Bootstrap,5,0.7391304347826086
HIV,Bootstrap,6,0.665406427221172
HIV,Bootstrap,7,0.6209829867674859
HIV,Bootstrap,8,0.6559546313799621
HIV,Bootstrap,9,0.5302457466918715
HIV,Bootstrap,10,0.666351606805293
HIV,Bootstrap,11,0.722117202268431
HIV,Bootstrap,12,0.8109640831758034
HIV,Bootstrap,13,0.7901701323251418
HIV,Bootstrap,14,0.8081285444234405
HIV,Bootstrap,15,0.7164461247637051
HIV,Bootstrap,16,0.6578449905482042
HIV,Bootstrap,17,0.6776937618147447
HIV,Bootstrap,18,0.7589792060491494
HIV,Bootstrap,19,0.7003780718336483
HIV,Bootstrap,20,0.6162570888468809
HIV,Bootstrap,21,0.7618147448015122
HIV,Bootstrap,22,0.7977315689981096
HIV,Bootstrap,23,0.7542533081285444
HIV,Bootstrap,24,0.8034026465028355
HIV,Bootstrap,25,0.6436672967863895
HIV,Bootstrap,26,0.722117202268431
HIV,Bootstrap,27,0.7315689981096408
HIV,Bootstrap,28,0.6947069943289226
HIV,Bootstrap,29,0.6833648393194707
HIV,Bootstrap,30,0.7533081285444234
HIV,Bootstrap,31,0.7854442344045369
HIV,Bootstrap,32,0.7504725897920604
HIV,Bootstrap,33,0.8052930056710774
HIV,Bootstrap,34,0.7164461247637051
HIV,Bootstrap,35,0.7608695652173914
HIV,Bootstrap,36,0.6408317580340264
HIV,Bootstrap,37,0.7249527410207939
HIV,Bootstrap,38,0.6776937618147448
HIV,Bootstrap,39,0.6814744801512287
HIV,Bootstrap,40,0.66351606805293
HIV,Bootstrap,41,0.7315689981096408
HIV,Bootstrap,42,0.8289224952741021
HIV,Bootstrap,43,0.6635160680529301
HIV,Bootstrap,44,0.609640831758034
HIV,Bootstrap,45,0.6228733459357279
HIV,Bootstrap,46,0.6200378071833648
HIV,Bootstrap,47,0.6720226843100189
HIV,Bootstrap,48,0.6729678638941399
HIV,Bootstrap,49,0.7646502835538752
HIV,Column-wise,0,0.8156899810964083
HIV,Column-wise,1,0.8289224952741021
HIV,Column-wise,2,0.8960302457466919
HIV,Column-wise,3,0.9272211720226844
HIV,Column-wise,4,0.9073724007561437
HIV,Column-wise,5,0.833648393194707
HIV,Column-wise,6,0.9508506616257089
HIV,Column-wise,7,0.831758034026465
HIV,Column-wise,8,0.8289224952741021
HIV,Column-wise,9,0.7155009451795842
HIV,Column-wise,10,0.8516068052930057
HIV,Column-wise,11,0.8534971644612477
HIV,Column-wise,12,0.9300567107750473
HIV,Column-wise,13,0.8402646502835539
HIV,Column-wise,14,0.7948960302457466
HIV,Column-wise,15,0.8270321361058601
HIV,Column-wise,16,0.9224952741020793
HIV,Column-wise,17,0.8610586011342154
HIV,Column-wise,18,0.9310018903591684
HIV,Column-wise,19,0.8695652173913044
HIV,Column-wise,20,0.7608695652173912
HIV,Column-wise,21,0.8062381852551985
HIV,Column-wise,22,0.8742911153119093
HIV,Column-wise,23,0.835538752362949
HIV,Column-wise,24,0.8506616257088846
HIV,Column-wise,25,0.8251417769376181
HIV,Column-wise,26,0.7948960302457467
HIV,Column-wise,27,0.77882797731569
HIV,Column-wise,28,0.9621928166351608
HIV,Column-wise,29,0.7561436672967865
HIV,Column-wise,30,0.8705103969754253
HIV,Column-wise,31,0.7901701323251418
HIV,Column-wise,32,0.8374291115311909
HIV,Column-wise,33,0.890359168241966
HIV,Column-wise,34,0.8156899810964083
HIV,Column-wise,35,0.889413988657845
HIV,Column-wise,36,0.838374291115312
HIV,Column-wise,37,0.9631379962192816
HIV,Column-wise,38,0.8960302457466919
HIV,Column-wise,39,0.8865784499054821
HIV,Column-wise,40,0.8034026465028354
HIV,Column-wise,41,0.9102079395085065
HIV,Column-wise,42,0.8969754253308129
HIV,Column-wise,43,0.8194706994328922
HIV,Column-wise,44,0.8780718336483933
HIV,Column-wise,45,0.8431001890359169
HIV,Column-wise,46,0.8969754253308129
HIV,Column-wise,47,0.8223062381852553
HIV,Column-wise,48,0.9206049149338373
HIV,Column-wise,49,0.8393194706994329
HIV,GMM,0,1.0
HIV,GMM,1,1.0
HIV,GMM,2,1.0
HIV,GMM,3,1.0
HIV,GMM,4,1.0
HIV,GMM,5,1.0
HIV,GMM,6,1.0
HIV,GMM,7,1.0
HIV,GMM,8,1.0
HIV,GMM,9,0.9999999999999999
HIV,GMM,10,1.0
HIV,GMM,11,1.0
HIV,GMM,12,1.0
HIV,GMM,13,1.0
HIV,GMM,14,1.0
