dataset,method,sigma,sep_mean,sep_sd,sep_values
HIV,Bootstrap,0.0,0.7118749999999999,0.05372910204209629,"[0.77421875, 0.69296875, 0.76640625, 0.628125, 0.69765625]"
HIV,Bootstrap,0.05,0.65015625,0.04303659416705742,"[0.665625, 0.6296875, 0.709375, 0.58046875, 0.665625]"
HIV,Bootstrap,0.1,0.616875,0.042044317206668985,"[0.5859375, 0.60234375, 0.69296875, 0.575, 0.628125]"
HIV,Bootstrap,0.2,0.5504687500000001,0.023689272690924912,"[0.55234375, 0.53125, 0.5953125, 0.53203125, 0.54140625]"
HIV,Bootstrap,0.3,0.6275,0.06260615984070578,"[0.7484375, 0.6046875, 0.5671875, 0.615625, 0.6015625]"
HIV,Bootstrap,0.5,0.81953125,0.058224880581672314,"[0.9234375, 0.7828125, 0.79765625, 0.75625, 0.8375]"
HIV,Bootstrap,0.75,0.9121874999999999,0.028851722218959486,"[0.953125, 0.87578125, 0.89921875, 0.89453125, 0.93828125]"
HIV,Bootstrap,1.0,0.9493749999999999,0.014685837671886493,"[0.96875, 0.934375, 0.95390625, 0.93046875, 0.959375]"
HIV,Bootstrap,1.5,0.98265625,0.011400897716846688,"[0.9953125, 0.96875, 0.99453125, 0.9703125, 0.984375]"
HIV,Bootstrap,2.0,0.9921875,0.00630832163693325,"[1.0, 0.98125, 0.99609375, 0.990625, 0.99296875]"
HIV,Column-wise,0.0,0.64734375,0.047684673900531195,"[0.71484375, 0.64453125, 0.60390625, 0.58828125, 0.68515625]"
HIV,Column-wise,0.05,0.52890625,0.018873292555222063,"[0.54375, 0.50078125, 0.54921875, 0.5125, 0.53828125]"
HIV,Column-wise,0.1,0.57984375,0.02877037321620977,"[0.5359375, 0.55625, 0.59453125, 0.6109375, 0.6015625]"
HIV,Column-wise,0.2,0.6751562499999999,0.02662859424096583,"[0.6515625, 0.6359375, 0.6875, 0.70390625, 0.696875]"
HIV,Column-wise,0.3,0.7515625,0.0351232483993864,"[0.72578125, 0.71484375, 0.7671875, 0.8125, 0.7375]"
HIV,Column-wise,0.5,0.8784375000000001,0.03447995341499171,"[0.88671875, 0.81171875, 0.90703125, 0.90234375, 0.884375]"
HIV,Column-wise,0.75,0.9360937500000001,0.02406148536821862,"[0.95546875, 0.89765625, 0.9671875, 0.93125, 0.92890625]"
HIV,Column-wise,1.0,0.9490624999999999,0.020332922425834423,"[0.975, 0.91640625, 0.9640625, 0.9390625, 0.95078125]"
HIV,Column-wise,1.5,0.9712499999999998,0.013508171716594379,"[0.99140625, 0.9515625, 0.97734375, 0.9625, 0.9734375]"
HIV,Column-wise,2.0,0.9815625000000001,0.01382260659662278,"[0.996875, 0.96484375, 0.996875, 0.9671875, 0.98203125]"
HIV,GMM,0.0,0.9575000000000001,0.013901860262209527,"[0.97265625, 0.93984375, 0.971875, 0.96015625, 0.94296875]"
HIV,GMM,0.05,0.9610937500000001,0.02435395726314308,"[0.9828125, 0.91953125, 0.98359375, 0.97109375, 0.9484375]"
HIV,GMM,0.1,0.960625,0.023678964491189208,"[0.98046875, 0.92109375, 0.984375, 0.9703125, 0.946875]"
HIV,GMM,0.2,0.968125,0.01324351256276066,"[0.9890625, 0.95546875, 0.97265625, 0.97109375, 0.95234375]"
HIV,GMM,0.3,0.98015625,0.0076482739065752625,"[0.99453125, 0.98125, 0.975, 0.9734375, 0.9765625]"
HIV,GMM,0.5,0.98359375,0.00813400942801272,"[0.9984375, 0.97890625, 0.9828125, 0.98359375, 0.97421875]"
HIV,GMM,0.75,0.9825000000000002,0.008623527954091633,"[0.99609375, 0.975, 0.98671875, 0.9828125, 0.971875]"
HIV,GMM,1.0,0.98734375,0.008844357311303062,"[1.0, 0.978125, 0.98984375, 0.9921875, 0.9765625]"
HIV,GMM,1.5,0.9915624999999999,0.006218671481916381,"[1.0, 0.984375, 0.9953125, 0.99375, 0.984375]"
HIV,GMM,2.0,0.9918750000000001,0.00780624749799798,"[0.9984375, 0.9796875, 1.0, 0.9953125, 0.9859375]"
HIV,CVAE,0.0,0.9525,0.021122087447148778,"[0.9671875, 0.94921875, 0.92578125, 0.984375, 0.9359375]"
HIV,CVAE,0.05,0.9510937500000001,0.01831260665497952,"[0.9578125, 0.95625, 0.9359375, 0.97890625, 0.9265625]"
HIV,CVAE,0.1,0.943125,0.019779052998058304,"[0.9671875, 0.9375, 0.921875, 0.965625, 0.9234375]"
HIV,CVAE,0.2,0.9393750000000001,0.00986480882354038,"[0.94609375, 0.940625, 0.92265625, 0.9515625, 0.9359375]"
HIV,CVAE,0.3,0.9360937500000001,0.014057290701803081,"[0.9578125, 0.9328125, 0.92265625, 0.94609375, 0.92109375]"
HIV,CVAE,0.5,0.9151562500000001,0.010944194379898416,"[0.925, 0.9015625, 0.90390625, 0.91640625, 0.92890625]"
HIV,CVAE,0.75,0.9551562499999999,0.015785117100452554,"[0.95234375, 0.92890625, 0.9515625, 0.9703125, 0.97265625]"
HIV,CVAE,1.0,0.9646874999999999,0.012812499999999998,"[0.96484375, 0.94140625, 0.9671875, 0.98046875, 0.96953125]"
HIV,CVAE,1.5,0.9868750000000001,0.005998860568891364,"[0.9890625, 0.97578125, 0.990625, 0.9859375, 0.99296875]"
HIV,CVAE,2.0,0.9928125,0.0056423344016461865,"[0.9953125, 0.9828125, 0.9984375, 0.990625, 0.996875]"
Breast Cancer,Bootstrap,0.0,0.7080161476355248,0.026021566751724613,"[0.6777008842752787, 0.7005767012687428, 0.7431372549019608, 0.6851018838908113, 0.7335640138408305]"
Breast Cancer,Bootstrap,0.05,0.7501922337562477,0.015052322929179261,"[0.7317954632833525, 0.7520953479430988, 0.7636678200692042, 0.7343137254901961, 0.7690888119953864]"
Breast Cancer,Bootstrap,0.1,0.7379392541330259,0.018167139999230586,"[0.7342368319876971, 0.7219146482122261, 0.75359477124183, 0.7162437524029219, 0.7637062668204536]"
Breast Cancer,Bootstrap,0.2,0.6165128796616685,0.023806649347004643,"[0.6338331410995771, 0.599442522106882, 0.6043060361399462, 0.5906958861976163, 0.6542868127643213]"
Breast Cancer,Bootstrap,0.3,0.605520953479431,0.03802798348866088,"[0.5465397923875434, 0.6222991157247213, 0.651595540176855, 0.6294694348327565, 0.5777008842752788]"
Breast Cancer,Bootstrap,0.5,0.8625182622068435,0.016333478633587372,"[0.8381584006151479, 0.8817185697808535, 0.8725105728565936, 0.8715109573241062, 0.8486928104575163]"
Breast Cancer,Bootstrap,0.75,0.9532602845059595,0.005516949388644041,"[0.944329104190696, 0.9595155709342562, 0.952652825836217, 0.9586120722798924, 0.9511918492887352]"
Breast Cancer,Bootstrap,1.0,0.9802691272587467,0.0020609969032311846,"[0.9773933102652826, 0.9821991541714725, 0.9781430219146481, 0.981757016532103, 0.9818531334102267]"
Breast Cancer,Bootstrap,1.5,0.9942252979623222,0.0018240380327728069,"[0.992233756247597, 0.9958093041138024, 0.9917916186082276, 0.9959630911188004, 0.9953287197231834]"
Breast Cancer,Bootstrap,2.0,0.9980507497116493,0.0005914555043597934,"[0.9973087274125337, 0.9982891195693963, 0.9974432910419069, 0.998885044213764, 0.9983275663206459]"
Breast Cancer,Column-wise,0.0,0.9386966551326413,0.010185936898866904,"[0.9273740868896578, 0.9279892349096501, 0.9380430603613995, 0.9530565167243367, 0.9470203767781621]"
Breast Cancer,Column-wise,0.05,0.9451710880430604,0.011446053077425604,"[0.9326412918108419, 0.931199538638985, 0.948154555940023, 0.9598808150711265, 0.9539792387543253]"
Breast Cancer,Column-wise,0.1,0.9506958861976165,0.012587705915067667,"[0.9385813148788928, 0.9334102268358324, 0.9587274125336409, 0.9665705497885428, 0.9561899269511727]"
Breast Cancer,Column-wise,0.2,0.9607958477508649,0.007035740772239094,"[0.9572279892349096, 0.9524605920799691, 0.9560553633217992, 0.9676470588235293, 0.9705882352941175]"
Breast Cancer,Column-wise,0.3,0.9690965013456363,0.004476687942173483,"[0.964955786236063, 0.9687235678585159, 0.9653018069973086, 0.9691272587466357, 0.977374086889658]"
Breast Cancer,Column-wise,0.5,0.9753787004998078,0.003386423372944608,"[0.9731064975009612, 0.9718185313341022, 0.9731064975009612, 0.9802960399846213, 0.9785659361783929]"
Breast Cancer,Column-wise,0.75,0.9855517108804307,0.0015123116471806443,"[0.9874663590926568, 0.9844675124951943, 0.9859284890426758, 0.9832564398308342, 0.9866397539407922]"
Breast Cancer,Column-wise,1.0,0.9893963860053825,0.0014851398268983418,"[0.9913879277201078, 0.9877739331026529, 0.9893118031526337, 0.9877739331026527, 0.9907343329488658]"
Breast Cancer,Column-wise,1.5,0.9960399846212994,0.0009819363493807907,"[0.9941560938100731, 0.9968473663975395, 0.9967704728950402, 0.9960976547481739, 0.9963283352556708]"
Breast Cancer,Column-wise,2.0,0.9984390618992695,0.0006722576893463809,"[0.9976739715494041, 0.9990388312187619, 0.9982891195693963, 0.9978085351787774, 0.9993848519800077]"
Breast Cancer,GMM,0.0,0.9797078046905036,0.006383232957457408,"[0.9682814302191465, 0.9839677047289503, 0.9854671280276817, 0.9836409073433294, 0.9771818531334102]"
