dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
HIV,Bootstrap,0,63,0.7070415879017012,0.05072583871035641,"[0.6862003780718336, 0.7230623818525519, 0.8147448015122873, 0.7551984877126654, 0.6455576559546314, 0.7353497164461248, 0.6918714555765595, 0.782608695652174, 0.6408317580340264, 0.6361058601134216, 0.6795841209829868, 0.6219281663516069, 0.6644612476370511, 0.6975425330812854, 0.7448015122873346, 0.7230623818525519, 0.6758034026465028, 0.720226843100189, 0.7381852551984877, 0.7637051039697542]"
HIV,Bootstrap,9,54,0.7229206049149338,0.04270211632625399,"[0.7051039697542534, 0.723062381852552, 0.8279773156899811, 0.7344045368620038, 0.6550094517958412, 0.7523629489603024, 0.7107750472589792, 0.7844990548204158, 0.6465028355387523, 0.6644612476370511, 0.7022684310018904, 0.6729678638941399, 0.7003780718336484, 0.725897920604915, 0.7296786389413988, 0.7495274102079394, 0.7325141776937618, 0.7580340264650284, 0.7344045368620038, 0.7485822306238186]"
HIV,Bootstrap,17,46,0.7300094517958413,0.04367637427233003,"[0.7315689981096408, 0.7551984877126654, 0.8185255198487713, 0.7589792060491494, 0.6455576559546313, 0.7674858223062382, 0.7126654064272212, 0.8090737240075614, 0.6786389413988658, 0.6644612476370511, 0.6852551984877127, 0.6748582230623819, 0.719281663516068, 0.7334593572778828, 0.7504725897920604, 0.7551984877126654, 0.7173913043478262, 0.7334593572778828, 0.7419659735349716, 0.7466918714555766]"
HIV,Bootstrap,26,37,0.7359640831758034,0.04625229800222314,"[0.7353497164461247, 0.7684310018903592, 0.831758034026465, 0.7627599243856333, 0.6436672967863895, 0.7523629489603024, 0.727788279773157, 0.7958412098298677, 0.6521739130434783, 0.6758034026465028, 0.6947069943289225, 0.6786389413988658, 0.7306238185255198, 0.7296786389413988, 0.7712665406427222, 0.7514177693761814, 0.7306238185255198, 0.7637051039697542, 0.7533081285444234, 0.7693761814744802]"
HIV,Bootstrap,35,28,0.7420132325141776,0.04654803138989791,"[0.7542533081285444, 0.7570888468809074, 0.8279773156899811, 0.7835538752362949, 0.6455576559546313, 0.7599243856332702, 0.724007561436673, 0.8166351606805293, 0.6616257088846881, 0.6947069943289225, 0.723062381852552, 0.6578449905482042, 0.7589792060491494, 0.7391304347826086, 0.7561436672967864, 0.7608695652173914, 0.7325141776937618, 0.7637051039697542, 0.7646502835538752, 0.7580340264650284]"
HIV,Bootstrap,44,19,0.7394612476370509,0.048021518224638605,"[0.7485822306238186, 0.7684310018903592, 0.8241965973534972, 0.7948960302457467, 0.6493383742911153, 0.7637051039697542, 0.7088846880907372, 0.8109640831758034, 0.6729678638941399, 0.6965973534971645, 0.6852551984877127, 0.6559546313799622, 0.7646502835538752, 0.7542533081285445, 0.7315689981096408, 0.7457466918714556, 0.719281663516068, 0.7844990548204159, 0.7457466918714556, 0.7637051039697542]"
HIV,Bootstrap,52,11,0.7510869565217393,0.04712293746249498,"[0.7561436672967864, 0.781663516068053, 0.8355387523629489, 0.7930056710775047, 0.6947069943289226, 0.7561436672967864, 0.6975425330812854, 0.8223062381852552, 0.7069943289224954, 0.6795841209829867, 0.6814744801512287, 0.665406427221172, 0.7703213610586012, 0.7882797731568998, 0.7693761814744802, 0.7665406427221172, 0.7514177693761814, 0.7466918714555766, 0.7684310018903591, 0.7901701323251418]"
HIV,Bootstrap,61,2,0.6707939508506616,0.04785829814057645,"[0.7381852551984878, 0.6880907372400756, 0.7296786389413988, 0.6918714555765595, 0.6465028355387523, 0.6776937618147447, 0.6531190926275992, 0.7372400756143667, 0.7126654064272212, 0.5642722117202268, 0.6247637051039698, 0.5708884688090737, 0.6814744801512287, 0.6531190926275993, 0.7249527410207939, 0.6417769376181475, 0.6871455576559546, 0.6370510396975426, 0.6975425330812854, 0.6578449905482042]"
HIV,Column-wise,0,63,0.85203213610586,0.04976751978514218,"[0.8950850661625709, 0.8468809073724007, 0.7986767485822306, 0.8809073724007561, 0.8374291115311909, 0.9177693761814745, 0.7958412098298676, 0.7637051039697542, 0.8383742911153119, 0.8421550094517959, 0.9054820415879018, 0.8572778827977316, 0.888468809073724, 0.77882797731569, 0.777882797731569, 0.9508506616257089, 0.8534971644612477, 0.9026465028355387, 0.8742911153119092, 0.834593572778828]"
HIV,Column-wise,9,54,0.7862476370510396,0.0732939537454988,"[0.8506616257088847, 0.8119092627599244, 0.8100189035916825, 0.7466918714555766, 0.8043478260869565, 0.8629489603024575, 0.6937618147448015, 0.7854442344045368, 0.6824196597353498, 0.8156899810964083, 0.8638941398865785, 0.7901701323251418, 0.8137996219281662, 0.7088846880907372, 0.610586011342155, 0.8827977315689981, 0.8459357277882797, 0.8865784499054821, 0.7069943289224953, 0.7514177693761814]"
HIV,Column-wise,17,46,0.7465500945179584,0.0685201581893045,"[0.8478260869565217, 0.775047258979206, 0.7381852551984878, 0.722117202268431, 0.7967863894139886, 0.7996219281663516, 0.6947069943289225, 0.7712665406427222, 0.6512287334593573, 0.7362948960302458, 0.8232514177693762, 0.6909262759924386, 0.7230623818525519, 0.6550094517958411, 0.6521739130434783, 0.8610586011342155, 0.831758034026465, 0.8109640831758034, 0.6379962192816635, 0.7117202268431002]"
