,spikeProduction_D1D2,spikeDecay_D1D2,spikeProduction_D3,spikeDecay_D3,RBDProduction_D1D2,RBDDecay_D1D2,RBDProduction_D3,RBDDecay_D3,V1_blood_IgGspike,V4_blood_IgGspike,V4a_blood_IgGspike,V6_blood_IgGspike,V8_blood_IgGspike,V8a_blood_IgGspike,V8b_blood_IgGspike,V9_blood_IgGspike,V10_blood_IgGspike,V11_blood_IgGspike,V1_blood_IgGRBD,V4_blood_IgGRBD,V4a_blood_IgGRBD,V6_blood_IgGRBD,V8_blood_IgGRBD,V8a_blood_IgGRBD,V8b_blood_IgGRBD,V9_blood_IgGRBD,V10_blood_IgGRBD,V11_blood_IgGRBD,V4_Saliva_IgGspike,V4_Saliva_IgGRBD,V5_Saliva_IgGspike,V5_Saliva_IgGRBD,V8_Saliva_IgGspike,V8_Saliva_IgGRBD,V8b_Saliva_IgGspike,V8b_Saliva_IgGRBD,V9_Saliva_IgGspike,V9_Saliva_IgGRBD,V4_Saliva_IgAspike,V4_Saliva_IgARBD,V5_Saliva_IgAspike,V5_Saliva_IgARBD,V8_Saliva_IgAspike,V8_Saliva_IgARBD,V8b_Saliva_IgAspike,V8b_Saliva_IgARBD,V9_Saliva_IgAspike,V9_Saliva_IgARBD,V8_IFNg,V9_IFNg,V8_IL2,V9_IL2,V9Dual,V8Dual,IFNG_production,Il2_production,RATIO_CD4CD8,V8Neut,V9Neut,V7_ACE2,V8_ACE2,V8b_ACE2,V9_ACE2
spikeProduction_D1D2,0.0,-0.21345613683846124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023918864763975336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spikeDecay_D1D2,-0.21345613683846124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006432758030913553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spikeProduction_D3,0.0,0.0,0.0,-0.20828046039953468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spikeDecay_D3,0.0,0.0,-0.20828046039953468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBDProduction_D1D2,0.0,0.0,0.0,0.0,0.0,-0.15947713191385302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBDDecay_D1D2,0.0,0.0,0.0,0.0,-0.15947713191385302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBDProduction_D3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32870330221430916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBDDecay_D3,0.0,0.0,0.0,0.0,0.0,0.0,-0.32870330221430916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V1_blood_IgGspike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15359457239365715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V4_blood_IgGspike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17767240618525562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2204698728745044,0.0,0.0,0.05001353569556876,0.03715839831453117,0.0,0.0,0.0,0.0,0.0,0.13067775778573082,0.017081071606170773,0.1402370816098259,0.0,0.0,0.0,0.0,0.0,0.0,0.07615722095082456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10219311609564055,0.036368883326785804,0.0,0.0
