dataset,n_features,linkage,metric,requested_k,actual_k,largest_cluster,cluster_sizes,silhouette,ari_to_current
HIV,63,single,euclidean,3,3,61,"61,1,1",0.12320575776137484,
HIV,63,single,euclidean,4,4,60,"60,1,1,1",0.11248169817747754,
HIV,63,single,euclidean,5,5,59,"59,1,1,1,1",0.09016806987057377,
HIV,63,single,euclidean,6,6,58,"58,1,1,1,1,1",0.059917342821156495,
HIV,63,single,euclidean,7,7,57,"57,1,1,1,1,1,1",0.06084729406934332,0.661372435950243
HIV,63,single,euclidean,8,8,55,"55,2,1,1,1,1,1,1",0.04752637724326833,
HIV,63,single,euclidean,9,9,54,"54,2,1,1,1,1,1,1,1",0.047315818336407814,
HIV,63,single,euclidean,10,10,53,"53,2,1,1,1,1,1,1,1,1",0.03727079287060672,
HIV,63,single,euclidean,11,11,52,"52,2,1,1,1,1,1,1,1,1,1",0.03460318931057154,
HIV,63,single,euclidean,12,12,51,"51,2,1,1,1,1,1,1,1,1,1,1",0.02810371196598863,
HIV,63,single,cosine,3,3,54,"54,8,1",0.06241050660502263,
HIV,63,single,cosine,4,3,54,"54,8,1",0.06241050660502263,
HIV,63,single,cosine,5,5,52,"52,8,1,1,1",0.06173053582334744,
HIV,63,single,cosine,6,5,52,"52,8,1,1,1",0.06173053582334744,
HIV,63,single,cosine,7,7,50,"50,8,1,1,1,1,1",0.06319830459848921,-0.15151175715381235
HIV,63,single,cosine,8,8,49,"49,8,1,1,1,1,1,1",0.06397773765786488,
HIV,63,single,cosine,9,8,49,"49,8,1,1,1,1,1,1",0.06397773765786488,
HIV,63,single,cosine,10,10,47,"47,8,1,1,1,1,1,1,1,1",0.06563747128387398,
HIV,63,single,cosine,11,11,46,"46,8,1,1,1,1,1,1,1,1,1",0.06652220573856549,
HIV,63,single,cosine,12,12,45,"45,8,1,1,1,1,1,1,1,1,1,1",0.06744680588784027,
HIV,63,single,correlation,3,3,61,"61,1,1",0.003865868335436464,
HIV,63,single,correlation,4,3,61,"61,1,1",0.003865868335436464,
HIV,63,single,correlation,5,3,61,"61,1,1",0.003865868335436464,
HIV,63,single,correlation,6,3,61,"61,1,1",0.003865868335436464,
HIV,63,single,correlation,7,7,57,"57,1,1,1,1,1,1",0.0001600471048466714,-0.1139467830958069
HIV,63,single,correlation,8,8,56,"56,1,1,1,1,1,1,1",-0.0033168584250887006,
HIV,63,single,correlation,9,9,55,"55,1,1,1,1,1,1,1,1",-0.006242225948375045,
HIV,63,single,correlation,10,10,47,"47,8,1,1,1,1,1,1,1,1",0.06181557486863559,
HIV,63,single,correlation,11,11,32,"32,15,8,1,1,1,1,1,1,1,1",0.1166459206213148,
HIV,63,single,correlation,12,12,29,"29,15,8,3,1,1,1,1,1,1,1,1",0.12919283337948798,
HIV,63,complete,euclidean,3,3,55,"55,6,2",0.10121271213117972,
HIV,63,complete,euclidean,4,4,53,"53,6,2,2",0.09991766742579786,
HIV,63,complete,euclidean,5,5,53,"53,5,2,2,1",0.09436914274101699,
HIV,63,complete,euclidean,6,6,50,"50,5,3,2,2,1",0.07938188184068998,
HIV,63,complete,euclidean,7,7,48,"48,5,3,2,2,2,1",0.08313125216346966,0.6073946754972533
HIV,63,complete,euclidean,8,8,40,"40,8,5,3,2,2,2,1",0.09268363747823932,
HIV,63,complete,euclidean,9,9,40,"40,8,5,3,2,2,1,1,1",0.09054197034261421,
HIV,63,complete,euclidean,10,10,36,"36,8,5,4,3,2,2,1,1,1",0.09803472896034032,
HIV,63,complete,euclidean,11,11,30,"30,8,6,5,4,3,2,2,1,1,1",0.09034474383144413,
HIV,63,complete,euclidean,12,12,30,"30,8,5,4,3,3,3,2,2,1,1,1",0.0944612375991186,
HIV,63,complete,cosine,3,3,29,"29,18,16",0.10755348906101105,
HIV,63,complete,cosine,4,4,29,"29,16,12,6",0.14171253509984533,
HIV,63,complete,cosine,5,5,29,"29,16,7,6,5",0.16782824570554525,
HIV,63,complete,cosine,6,6,22,"22,16,7,7,6,5",0.1746399489657238,
HIV,63,complete,cosine,7,7,22,"22,10,7,7,6,6,5",0.16366553422963637,0.011418923789674044
HIV,63,complete,cosine,8,8,22,"22,7,7,6,6,6,5,4",0.16895419679262386,
HIV,63,complete,cosine,9,9,22,"22,7,7,6,6,5,4,3,3",0.17358735927367439,
HIV,63,complete,cosine,10,10,21,"21,7,7,6,6,5,4,3,3,1",0.14691755887184116,
HIV,63,complete,cosine,11,11,21,"21,7,6,6,5,4,4,3,3,3,1",0.1554822306566871,
HIV,63,complete,cosine,12,12,18,"18,7,6,6,5,4,4,3,3,3,3,1",0.15846665175304941,
HIV,63,complete,correlation,3,3,27,"27,18,18",0.11269326712909551,
HIV,63,complete,correlation,4,4,18,"18,18,17,10",0.1176498854996146,
HIV,63,complete,correlation,5,5,18,"18,17,10,10,8",0.13931049591739275,
HIV,63,complete,correlation,6,6,17,"17,12,10,10,8,6",0.12779688025364488,
HIV,63,complete,correlation,7,7,12,"12,10,10,9,8,8,6",0.12566707770512625,0.017419262798282584
HIV,63,complete,correlation,8,8,10,"10,10,9,8,8,7,6,5",0.1292712205208304,
HIV,63,complete,correlation,9,9,10,"10,9,8,8,8,7,6,5,2",0.11338938544098319,
HIV,63,complete,correlation,10,10,10,"10,8,8,8,7,6,6,5,3,2",0.10973424342640103,
HIV,63,complete,correlation,11,11,10,"10,8,8,7,6,6,5,5,3,3,2",0.1144851563585221,
HIV,63,complete,correlation,12,12,8,"8,8,7,6,6,6,5,5,4,3,3,2",0.13681669611791036,
HIV,63,average,euclidean,3,3,61,"61,1,1",0.13829723297363367,
HIV,63,average,euclidean,4,4,60,"60,1,1,1",0.1208264589432999,
HIV,63,average,euclidean,5,5,59,"59,1,1,1,1",0.08497033910988809,
HIV,63,average,euclidean,6,6,57,"57,2,1,1,1,1",0.07008324527787442,
HIV,63,average,euclidean,7,7,55,"55,2,2,1,1,1,1",0.06904034027097815,1.0
HIV,63,average,euclidean,8,8,50,"50,5,2,2,1,1,1,1",0.07620868427803872,
HIV,63,average,euclidean,9,9,50,"50,5,2,1,1,1,1,1,1",0.07382344957078167,
HIV,63,average,euclidean,10,10,42,"42,8,5,2,1,1,1,1,1,1",0.08315485913864124,
HIV,63,average,euclidean,11,11,41,"41,8,5,2,1,1,1,1,1,1,1",0.07769153388998748,
HIV,63,average,euclidean,12,12,40,"40,8,5,2,1,1,1,1,1,1,1,1",0.07746578001546209,
HIV,63,average,cosine,3,3,40,"40,15,8",0.16029292745327786,
HIV,63,average,cosine,4,4,21,"21,19,15,8",0.16321370229711396,
HIV,63,average,cosine,5,5,19,"19,15,15,8,6",0.18786201691823773,
HIV,63,average,cosine,6,6,17,"17,15,15,8,6,2",0.18361685250227988,
HIV,63,average,cosine,7,7,15,"15,15,14,8,6,3,2",0.19385629107821656,0.01537898378179875
HIV,63,average,cosine,8,8,15,"15,14,12,8,6,3,3,2",0.20154210761272684,
HIV,63,average,cosine,9,9,15,"15,14,10,8,6,3,3,2,2",0.2094343029281636,
HIV,63,average,cosine,10,10,15,"15,13,10,8,6,3,3,2,2,1",0.20375722941476423,
HIV,63,average,cosine,11,11,15,"15,12,10,8,6,3,3,2,2,1,1",0.20304092328410503,
HIV,63,average,cosine,12,12,15,"15,11,10,8,6,3,3,2,2,1,1,1",0.20315454360501176,
HIV,63,average,correlation,3,3,36,"36,17,10",0.13524567969758466,
HIV,63,average,correlation,4,4,25,"25,17,11,10",0.13216950111413628,
HIV,63,average,correlation,5,5,24,"24,17,11,10,1",0.11840557738668574,
HIV,63,average,correlation,6,6,24,"24,17,11,9,1,1",0.12413565785061223,
HIV,63,average,correlation,7,7,23,"23,17,11,9,1,1,1",0.12516760949421107,-0.02988279769398156
HIV,63,average,correlation,8,8,23,"23,16,11,9,1,1,1,1",0.127544698399782,
HIV,63,average,correlation,9,9,16,"16,16,11,9,7,1,1,1,1",0.15565266689128848,
HIV,63,average,correlation,10,10,16,"16,16,11,9,6,1,1,1,1,1",0.16209209816875622,
HIV,63,average,correlation,11,11,16,"16,15,11,9,6,1,1,1,1,1,1",0.16341531006219517,
HIV,63,average,correlation,12,12,16,"16,15,11,8,6,1,1,1,1,1,1,1",0.169879899133328,
HIV,63,ward,euclidean,3,3,40,"40,15,8",0.09058294345738813,
HIV,63,ward,euclidean,4,4,36,"36,15,8,4",0.09898807755007705,
HIV,63,ward,euclidean,5,5,25,"25,15,11,8,4",0.0979838532992059,
HIV,63,ward,euclidean,6,6,25,"25,11,8,8,7,4",0.1029929067917793,
HIV,63,ward,euclidean,7,7,23,"23,11,8,8,7,4,2",0.10465150513612007,0.04919247295895688
HIV,63,ward,euclidean,8,8,23,"23,11,8,8,4,4,3,2",0.10767987524216989,
HIV,63,ward,euclidean,9,9,22,"22,11,8,8,4,4,3,2,1",0.10695432809088858,
HIV,63,ward,euclidean,10,10,22,"22,10,8,8,4,4,3,2,1,1",0.10956086304796843,
HIV,63,ward,euclidean,11,11,22,"22,8,8,5,5,4,4,3,2,1,1",0.10493890734534869,
HIV,63,ward,euclidean,12,12,22,"22,8,8,5,4,4,3,3,2,2,1,1",0.10963072465042442,
Breast Cancer,30,single,euclidean,3,3,27,"27,2,1",0.10180094646405374,
Breast Cancer,30,single,euclidean,4,4,26,"26,2,1,1",0.06084994898033233,
Breast Cancer,30,single,euclidean,5,5,25,"25,2,1,1,1",0.06770340451140869,
Breast Cancer,30,single,euclidean,6,6,19,"19,6,2,1,1,1",0.1098653631627313,
Breast Cancer,30,single,euclidean,7,7,18,"18,6,2,1,1,1,1",0.10141341737661878,0.5211594911937377
Breast Cancer,30,single,euclidean,8,8,18,"18,6,1,1,1,1,1,1",0.08263954312996497,
Breast Cancer,30,single,euclidean,9,9,17,"17,6,1,1,1,1,1,1,1",0.08821019505930984,
Breast Cancer,30,single,euclidean,10,10,16,"16,6,1,1,1,1,1,1,1,1",0.08271104844916971,
Breast Cancer,30,single,euclidean,11,10,16,"16,6,1,1,1,1,1,1,1,1",0.08271104844916971,
Breast Cancer,30,single,euclidean,12,12,14,"14,6,1,1,1,1,1,1,1,1,1,1",0.08723109728510502,
Breast Cancer,30,single,cosine,3,3,22,"22,5,3",0.10094888239401315,
Breast Cancer,30,single,cosine,4,4,16,"16,6,5,3",0.1417086708745412,
Breast Cancer,30,single,cosine,5,5,10,"10,6,6,5,3",0.2665299746015004,
Breast Cancer,30,single,cosine,6,6,8,"8,6,6,5,3,2",0.2845865369032063,
Breast Cancer,30,single,cosine,7,7,7,"7,6,6,5,3,2,1",0.28480955278836606,0.47029520295202953
Breast Cancer,30,single,cosine,8,7,7,"7,6,6,5,3,2,1",0.28480955278836606,
Breast Cancer,30,single,cosine,9,9,7,"7,6,6,3,3,2,1,1,1",0.3075821975765654,
Breast Cancer,30,single,cosine,10,10,6,"6,6,6,3,3,2,1,1,1,1",0.320566991753361,
Breast Cancer,30,single,cosine,11,11,6,"6,6,4,3,3,2,2,1,1,1,1",0.3371863137956732,
Breast Cancer,30,single,cosine,12,12,6,"6,6,3,3,2,2,2,2,1,1,1,1",0.3835810754277825,
Breast Cancer,30,single,correlation,3,3,21,"21,6,3",0.23906935146222677,
Breast Cancer,30,single,correlation,4,4,16,"16,6,5,3",0.2421100448471634,
Breast Cancer,30,single,correlation,5,5,10,"10,6,6,5,3",0.2631960160527656,
Breast Cancer,30,single,correlation,6,6,8,"8,6,6,5,3,2",0.28074572682512866,
Breast Cancer,30,single,correlation,7,6,8,"8,6,6,5,3,2",0.28074572682512866,0.44902328070644904
Breast Cancer,30,single,correlation,8,8,8,"8,6,6,3,3,2,1,1",0.2823668317282305,
Breast Cancer,30,single,correlation,9,9,7,"7,6,6,3,3,2,1,1,1",0.2899568683929713,
Breast Cancer,30,single,correlation,10,10,7,"7,6,4,3,3,2,2,1,1,1",0.30727817672699587,
Breast Cancer,30,single,correlation,11,11,6,"6,6,4,3,3,2,2,1,1,1,1",0.3181777206936688,
Breast Cancer,30,single,correlation,12,12,6,"6,6,3,3,2,2,2,2,1,1,1,1",0.36739769562653307,
Breast Cancer,30,complete,euclidean,3,3,22,"22,6,2",0.08919790171742423,
Breast Cancer,30,complete,euclidean,4,4,13,"13,9,6,2",0.14183253735143428,
Breast Cancer,30,complete,euclidean,5,5,9,"9,7,6,6,2",0.10334327561278361,
Breast Cancer,30,complete,euclidean,6,6,9,"9,7,6,4,2,2",0.11297635850852296,
Breast Cancer,30,complete,euclidean,7,7,9,"9,7,4,4,2,2,2",0.12193696186678514,0.44902328070644904
Breast Cancer,30,complete,euclidean,8,8,7,"7,6,4,4,3,2,2,2",0.16561915099531044,
Breast Cancer,30,complete,euclidean,9,9,7,"7,6,4,4,3,2,2,1,1",0.17408277887520768,
Breast Cancer,30,complete,euclidean,10,10,7,"7,6,4,3,2,2,2,2,1,1",0.19088391343050903,
Breast Cancer,30,complete,euclidean,11,11,6,"6,5,4,3,2,2,2,2,2,1,1",0.19364509558132587,
Breast Cancer,30,complete,euclidean,12,12,6,"6,5,3,2,2,2,2,2,2,2,1,1",0.21904440227804536,
Breast Cancer,30,complete,cosine,3,3,11,"11,10,9",0.22275927227826273,
Breast Cancer,30,complete,cosine,4,4,11,"11,9,6,4",0.18232424012410847,
Breast Cancer,30,complete,cosine,5,5,11,"11,9,4,4,2",0.18413727095653068,
Breast Cancer,30,complete,cosine,6,6,11,"11,6,4,4,3,2",0.23941393290263718,
Breast Cancer,30,complete,cosine,7,7,7,"7,6,4,4,4,3,2",0.29854149254547735,0.6094182825484764
Breast Cancer,30,complete,cosine,8,8,7,"7,6,4,4,3,2,2,2",0.3204578760363106,
Breast Cancer,30,complete,cosine,9,9,6,"6,5,4,4,3,2,2,2,2",0.3451488202673714,
