linkage,metric,requested_k,actual_k,largest_cluster,cluster_sizes,silhouette
single,euclidean,3,3,61,"61,1,1",0.12320575776358704
single,euclidean,4,4,60,"60,1,1,1",0.11248169817972728
single,euclidean,5,5,59,"59,1,1,1,1",0.09016806987286433
single,euclidean,6,6,58,"58,1,1,1,1,1",0.05991734282371896
single,euclidean,7,7,57,"57,1,1,1,1,1,1",0.06084729407195157
single,euclidean,8,8,55,"55,2,1,1,1,1,1,1",0.04752637724602456
single,euclidean,9,9,54,"54,2,1,1,1,1,1,1,1",0.04731581833921602
single,euclidean,10,10,53,"53,2,1,1,1,1,1,1,1,1",0.037270792873563115
single,euclidean,11,11,52,"52,2,1,1,1,1,1,1,1,1,1",0.03460318931358586
single,euclidean,12,12,51,"51,2,1,1,1,1,1,1,1,1,1,1",0.028103711969063253
single,cosine,3,3,54,"54,8,1",0.0624105066050226
single,cosine,4,3,54,"54,8,1",0.0624105066050226
single,cosine,5,5,52,"52,8,1,1,1",0.06173053582334744
single,cosine,6,6,51,"51,8,1,1,1,1",0.06244983157477134
single,cosine,7,7,50,"50,8,1,1,1,1,1",0.06319830459848917
single,cosine,8,8,49,"49,8,1,1,1,1,1,1",0.06397773765786488
single,cosine,9,9,48,"48,8,1,1,1,1,1,1,1",0.06479008528784956
single,cosine,10,9,48,"48,8,1,1,1,1,1,1,1",0.06479008528784956
single,cosine,11,11,46,"46,8,1,1,1,1,1,1,1,1,1",0.06652220573856546
single,cosine,12,11,46,"46,8,1,1,1,1,1,1,1,1,1",0.06652220573856546
single,correlation,3,3,61,"61,1,1",0.003865868335436443
single,correlation,4,3,61,"61,1,1",0.003865868335436443
single,correlation,5,3,61,"61,1,1",0.003865868335436443
single,correlation,6,3,61,"61,1,1",0.003865868335436443
single,correlation,7,7,57,"57,1,1,1,1,1,1",0.00016004710484666964
single,correlation,8,8,56,"56,1,1,1,1,1,1,1",-0.0033168584250887045
single,correlation,9,9,55,"55,1,1,1,1,1,1,1,1",-0.006242225948375041
single,correlation,10,10,47,"47,8,1,1,1,1,1,1,1,1",0.06181557486863558
single,correlation,11,11,32,"32,15,8,1,1,1,1,1,1,1,1",0.11664592062131479
single,correlation,12,12,29,"29,15,8,3,1,1,1,1,1,1,1,1",0.12919283337948798
complete,euclidean,3,3,55,"55,6,2",0.101212712133841
complete,euclidean,4,4,53,"53,6,2,2",0.09991766742856152
complete,euclidean,5,5,53,"53,5,2,2,1",0.09436914274384155
complete,euclidean,6,6,50,"50,5,3,2,2,1",0.07938188184368751
complete,euclidean,7,7,48,"48,5,3,2,2,2,1",0.08313125216659474
complete,euclidean,8,8,40,"40,8,5,3,2,2,2,1",0.09268363748240624
complete,euclidean,9,9,40,"40,8,5,3,2,2,1,1,1",0.09054197034678114
complete,euclidean,10,10,36,"36,8,5,4,3,2,2,1,1,1",0.09803472896498343
complete,euclidean,11,11,30,"30,8,6,5,4,3,2,2,1,1,1",0.09034474383738551
complete,euclidean,12,12,30,"30,8,5,4,3,3,3,2,2,1,1,1",0.09446123760516194
complete,cosine,3,3,29,"29,18,16",0.10755348906101106
complete,cosine,4,4,29,"29,16,12,6",0.14171253509984533
complete,cosine,5,5,29,"29,16,7,6,5",0.16782824570554525
complete,cosine,6,6,22,"22,16,7,7,6,5",0.1746399489657238
complete,cosine,7,7,22,"22,10,7,7,6,6,5",0.16366553422963637
complete,cosine,8,8,22,"22,7,7,6,6,6,5,4",0.16895419679262388
complete,cosine,9,9,22,"22,7,7,6,6,5,4,3,3",0.17358735927367439
complete,cosine,10,10,21,"21,7,7,6,6,5,4,3,3,1",0.1469175588718412
complete,cosine,11,11,21,"21,7,6,6,5,4,4,3,3,3,1",0.1554822306566871
complete,cosine,12,12,18,"18,7,6,6,5,4,4,3,3,3,3,1",0.1584666517530494
complete,correlation,3,3,27,"27,18,18",0.11269326712909548
complete,correlation,4,4,18,"18,18,17,10",0.11764988549961457
complete,correlation,5,5,18,"18,17,10,10,8",0.1393104959173927
complete,correlation,6,6,17,"17,12,10,10,8,6",0.12779688025364486
complete,correlation,7,7,12,"12,10,10,9,8,8,6",0.1256670777051262
complete,correlation,8,8,10,"10,10,9,8,8,7,6,5",0.12927122052083037
complete,correlation,9,9,10,"10,9,8,8,8,7,6,5,2",0.11338938544098316
complete,correlation,10,10,10,"10,8,8,8,7,6,6,5,3,2",0.10973424342640099
complete,correlation,11,11,10,"10,8,8,7,6,6,5,5,3,3,2",0.11448515635852206
complete,correlation,12,12,8,"8,8,7,6,6,6,5,5,4,3,3,2",0.13681669611791034
average,euclidean,3,3,61,"61,1,1",0.13829723297579571
average,euclidean,4,4,60,"60,1,1,1",0.12082645894549862
average,euclidean,5,5,59,"59,1,1,1,1",0.08497033911216448
average,euclidean,6,6,57,"57,2,1,1,1,1",0.07008324528040577
average,euclidean,7,7,55,"55,2,2,1,1,1,1",0.06904034027361636
average,euclidean,8,8,50,"50,5,2,2,1,1,1,1",0.07620868428103622
average,euclidean,9,9,50,"50,5,2,1,1,1,1,1,1",0.07382344957377916
average,euclidean,10,10,42,"42,8,5,2,1,1,1,1,1,1",0.08315485914260487
average,euclidean,11,11,41,"41,8,5,2,1,1,1,1,1,1,1",0.07769153389415734
average,euclidean,12,12,40,"40,8,5,2,1,1,1,1,1,1,1,1",0.07746578001975005
average,cosine,3,3,40,"40,15,8",0.16029292745327786
average,cosine,4,4,21,"21,19,15,8",0.16321370229711388
average,cosine,5,5,19,"19,15,15,8,6",0.18786201691823767
average,cosine,6,6,17,"17,15,15,8,6,2",0.18361685250227983
average,cosine,7,7,15,"15,15,14,8,6,3,2",0.19385629107821653
average,cosine,8,8,15,"15,14,12,8,6,3,3,2",0.2015421076127268
average,cosine,9,9,15,"15,14,10,8,6,3,3,2,2",0.20943430292816367
average,cosine,10,10,15,"15,13,10,8,6,3,3,2,2,1",0.20375722941476426
average,cosine,11,11,15,"15,12,10,8,6,3,3,2,2,1,1",0.20304092328410506
average,cosine,12,12,15,"15,11,10,8,6,3,3,2,2,1,1,1",0.20315454360501178
average,correlation,3,3,36,"36,17,10",0.13524567969758464
average,correlation,4,4,25,"25,17,11,10",0.13216950111413625
average,correlation,5,5,24,"24,17,11,10,1",0.1184055773866857
average,correlation,6,6,24,"24,17,11,9,1,1",0.12413565785061216
average,correlation,7,7,23,"23,17,11,9,1,1,1",0.12516760949421105
average,correlation,8,8,23,"23,16,11,9,1,1,1,1",0.12754469839978194
average,correlation,9,9,16,"16,16,11,9,7,1,1,1,1",0.15565266689128843
average,correlation,10,10,16,"16,16,11,9,6,1,1,1,1,1",0.1620920981687562
average,correlation,11,11,16,"16,15,11,9,6,1,1,1,1,1,1",0.1634153100621951
average,correlation,12,12,16,"16,15,11,8,6,1,1,1,1,1,1,1",0.1698798991333279
ward,euclidean,3,3,40,"40,15,8",0.0905829434615557
ward,euclidean,4,4,36,"36,15,8,4",0.09898807755472096
ward,euclidean,5,5,25,"25,15,11,8,4",0.09798385330598304
ward,euclidean,6,6,25,"25,11,8,8,7,4",0.10299290679856088
ward,euclidean,7,7,23,"23,11,8,8,7,4,2",0.10465150514351813
ward,euclidean,8,8,23,"23,11,8,8,4,4,3,2",0.10767987524987173
ward,euclidean,9,9,22,"22,11,8,8,4,4,3,2,1",0.10695432809895715
ward,euclidean,10,10,22,"22,10,8,8,4,4,3,2,1,1",0.109560863056037
ward,euclidean,11,11,22,"22,8,8,5,5,4,4,3,2,1,1",0.10493890735376939
ward,euclidean,12,12,22,"22,8,8,5,4,4,3,3,2,2,1,1",0.10963072465884512
