dataset,prior,feature,significant_repeat_fraction
HIV,Normal,spikeProduction_D1D2,0.0
HIV,Normal,spikeDecay_D1D2,0.0
HIV,Normal,spikeProduction_D3,0.0
HIV,Normal,spikeDecay_D3,0.0
HIV,Normal,RBDProduction_D1D2,0.0
HIV,Normal,RBDDecay_D1D2,0.0
HIV,Normal,RBDProduction_D3,0.0
HIV,Normal,RBDDecay_D3,0.0
HIV,Normal,V1_blood_IgGspike,0.6666666666666666
HIV,Normal,V4_blood_IgGspike,1.0
HIV,Normal,V4a_blood_IgGspike,1.0
HIV,Normal,V6_blood_IgGspike,0.6666666666666666
HIV,Normal,V8_blood_IgGspike,1.0
HIV,Normal,V8a_blood_IgGspike,1.0
HIV,Normal,V8b_blood_IgGspike,0.0
HIV,Normal,V9_blood_IgGspike,1.0
HIV,Normal,V10_blood_IgGspike,0.6666666666666666
HIV,Normal,V11_blood_IgGspike,0.0
HIV,Normal,V1_blood_IgGRBD,0.0
HIV,Normal,V4_blood_IgGRBD,1.0
HIV,Normal,V4a_blood_IgGRBD,0.3333333333333333
HIV,Normal,V6_blood_IgGRBD,1.0
HIV,Normal,V8_blood_IgGRBD,1.0
HIV,Normal,V8a_blood_IgGRBD,1.0
HIV,Normal,V8b_blood_IgGRBD,1.0
HIV,Normal,V9_blood_IgGRBD,1.0
HIV,Normal,V10_blood_IgGRBD,1.0
HIV,Normal,V11_blood_IgGRBD,1.0
HIV,Normal,V4_Saliva_IgGspike,0.6666666666666666
HIV,Normal,V4_Saliva_IgGRBD,1.0
HIV,Normal,V5_Saliva_IgGspike,1.0
HIV,Normal,V5_Saliva_IgGRBD,1.0
HIV,Normal,V8_Saliva_IgGspike,1.0
HIV,Normal,V8_Saliva_IgGRBD,1.0
HIV,Normal,V8b_Saliva_IgGspike,0.0
HIV,Normal,V8b_Saliva_IgGRBD,0.6666666666666666
HIV,Normal,V9_Saliva_IgGspike,1.0
HIV,Normal,V9_Saliva_IgGRBD,1.0
HIV,Normal,V4_Saliva_IgAspike,0.6666666666666666
HIV,Normal,V4_Saliva_IgARBD,1.0
HIV,Normal,V5_Saliva_IgAspike,1.0
HIV,Normal,V5_Saliva_IgARBD,1.0
HIV,Normal,V8_Saliva_IgAspike,0.0
HIV,Normal,V8_Saliva_IgARBD,1.0
HIV,Normal,V8b_Saliva_IgAspike,1.0
HIV,Normal,V8b_Saliva_IgARBD,0.6666666666666666
HIV,Normal,V9_Saliva_IgAspike,1.0
HIV,Normal,V9_Saliva_IgARBD,1.0
HIV,Normal,V8_IFNg,1.0
HIV,Normal,V9_IFNg,1.0
HIV,Normal,V8_IL2,1.0
HIV,Normal,V9_IL2,1.0
HIV,Normal,V9Dual,1.0
HIV,Normal,V8Dual,0.6666666666666666
HIV,Normal,IFNG_production,0.0
HIV,Normal,Il2_production,0.0
HIV,Normal,RATIO_CD4CD8,0.0
HIV,Normal,V8Neut,1.0
HIV,Normal,V9Neut,1.0
HIV,Normal,V7_ACE2,1.0
HIV,Normal,V8_ACE2,1.0
HIV,Normal,V8b_ACE2,1.0
HIV,Normal,V9_ACE2,1.0
HIV,Log-normal,spikeProduction_D1D2,0.0
HIV,Log-normal,spikeDecay_D1D2,0.0
HIV,Log-normal,spikeProduction_D3,0.0
HIV,Log-normal,spikeDecay_D3,0.0
HIV,Log-normal,RBDProduction_D1D2,0.0
HIV,Log-normal,RBDDecay_D1D2,0.0
HIV,Log-normal,RBDProduction_D3,0.0
HIV,Log-normal,RBDDecay_D3,0.0
HIV,Log-normal,V1_blood_IgGspike,0.6666666666666666
HIV,Log-normal,V4_blood_IgGspike,1.0
HIV,Log-normal,V4a_blood_IgGspike,1.0
HIV,Log-normal,V6_blood_IgGspike,0.6666666666666666
HIV,Log-normal,V8_blood_IgGspike,0.6666666666666666
HIV,Log-normal,V8a_blood_IgGspike,0.6666666666666666
HIV,Log-normal,V8b_blood_IgGspike,0.0
HIV,Log-normal,V9_blood_IgGspike,0.3333333333333333
HIV,Log-normal,V10_blood_IgGspike,1.0
HIV,Log-normal,V11_blood_IgGspike,0.0
HIV,Log-normal,V1_blood_IgGRBD,0.0
HIV,Log-normal,V4_blood_IgGRBD,1.0
HIV,Log-normal,V4a_blood_IgGRBD,0.6666666666666666
HIV,Log-normal,V6_blood_IgGRBD,0.6666666666666666
HIV,Log-normal,V8_blood_IgGRBD,1.0
HIV,Log-normal,V8a_blood_IgGRBD,1.0
HIV,Log-normal,V8b_blood_IgGRBD,0.6666666666666666
HIV,Log-normal,V9_blood_IgGRBD,1.0
